Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",60.950000,69.250000,180.000000,top
"D2","1N4001","D_1206",12.065000,73.938000,270.000000,top
"R1","120","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.250000,65.400000,270.000000,top
"R2","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.991145,69.222683,180.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.100000,69.222683,180.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.658405,69.268843,180.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.850000,69.250000,180.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.600000,69.250000,180.000000,top
"R7","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.850000,69.250000,180.000000,top
"SW1","ENABLE","SW_DIP_x4_W6.15mm_Slide_Omron_A6H",50.165000,65.405000,180.000000,top
"U1","MAX487EESA","SOIC-8_3.9x4.9mm_Pitch1.27mm",59.300000,65.345000,0.000000,top
