"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
2;"J1";"Molex_KK-6410-04_04x2.54mm_Straight";1;"PWR";;;
3;"P1";"Socket_Strip_Arduino_1x15";1;"Digital";;;
4;"P2";"Socket_Strip_Arduino_1x15";1;"Analog";;;
5;"C1";"C_0603_HandSoldering";1;"0.1uF";;;
6;"Q1,Q2,Q3";"TO-220-3_Vertical";3;"Q_NMOS_DGS";;;
7;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX487EESAS";;;
8;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS IN";;;
9;"J3";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS OUT";;;
10;"MK2,MK3,MK4,MK1";"MountingHole_4.3mm_M4";4;"Mounting_Hole";;;
11;"D1,D2,D3";"D_1206";3;"1N4001";;;
12;"J4";"Pin_Header_Straight_2x11_Pitch2.54mm";1;"DIGITAL";;;
13;"J6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A0";;;
14;"J7";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A1";;;
15;"J8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A2";;;
16;"J9";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A3";;;
17;"J10";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A4";;;
18;"J11";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A5";;;
19;"J12";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A6";;;
20;"J13";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"A7";;;
21;"J5";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"12V OUT";;;
22;"SW1";"SW_DIP_x4_W6.15mm_Slide_Omron_A6H";1;"ENABLE";;;
23;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120";;;
24;"R2,R3,R4,R5,R6,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"1K";;;
