Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",28.321000,32.258000,180.000000,top
"R1","120","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.385000,37.465000,270.000000,top
"R2","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.600000,28.000000,270.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.900000,28.000000,270.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.300000,28.000000,270.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.556000,32.775000,270.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.207000,24.375000,90.000000,top
"R7","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.287000,24.121000,90.000000,top
"SW1","ENABLE","SW_DIP_x4_W6.15mm_Slide_Omron_A6H",12.224000,36.703000,0.000000,top
"U1","MAX487EESAS","SOIC-8_3.9x4.9mm_Pitch1.27mm",27.145000,37.465000,0.000000,top
