Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",2.399606,2.726378,180.000000,top
"D2","1N4001","D_1206",0.475000,2.910945,270.000000,top
"R1","120","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2.568898,2.574803,270.000000,top
"R2","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.747683,2.725302,180.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.909449,2.725302,180.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.167654,2.727120,180.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.332677,2.726378,180.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.559055,2.726378,180.000000,top
"R7","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.726378,2.726378,180.000000,top
"SW1","ENABLE","SW_DIP_x4_W6.15mm_Slide_Omron_A6H",1.975000,2.575000,180.000000,top
"U1","MAX487EESA","SOIC-8_3.9x4.9mm_Pitch1.27mm",2.334646,2.572638,0.000000,top
