"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
2;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"ROT SW";;;
3;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PGM SEL";;;
4;"P1";"Socket_Strip_Arduino_1x15";1;"Digital";;;
5;"P2";"Socket_Strip_Arduino_1x15";1;"Analog";;;
6;"P3,P4,P5,P6";"1pin_Nano";4;"mounting";;;
7;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX487EESA";;;
8;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"ExpansionPort";;;
9;"R2,R3,R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
10;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uF";;;
11;"J1";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"PWR";;;
12;"J2";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"BUS IN";;;
13;"J3";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"BUS OUT";;;
14;"J5";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"POT1";;;
15;"J7";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"POT2";;;
16;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120";;;
17;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"CRS";;;
18;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"HDG";;;
