Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WHT","LED_0603_HandSoldering",6.913800,-6.502400,270.000000,top
"D2","WHT","LED_0603_HandSoldering",6.913800,-12.547600,90.000000,top
"D4","WHT","LED_0603_HandSoldering",15.346600,-6.502400,90.000000,top
"D5","WHT","LED_0603_HandSoldering",15.346600,-12.547600,270.000000,top
"D7","WHT","LED_0603_HandSoldering",24.409400,-6.507400,270.000000,top
"D8","WHT","LED_0603_HandSoldering",24.414400,-12.547600,90.000000,top
"D11","WHT","LED_0603_HandSoldering",32.821800,-6.502400,90.000000,top
"D12","WHT","LED_0603_HandSoldering",32.816800,-12.552600,270.000000,top
"D13","WHT","LED_0603_HandSoldering",41.838800,-6.502400,270.000000,top
"D14","WHT","LED_0603_HandSoldering",41.838800,-12.547600,90.000000,top
"D15","WHT","LED_0603_HandSoldering",50.271600,-6.502400,90.000000,top
"D16","WHT","LED_0603_HandSoldering",50.271600,-12.547600,270.000000,top
"D18","WHT","LED_0603_HandSoldering",59.288600,-6.502400,270.000000,top
"D19","WHT","LED_0603_HandSoldering",59.288600,-12.547600,90.000000,top
"D20","WHT","LED_0603_HandSoldering",67.716400,-6.497400,90.000000,top
"D21","WHT","LED_0603_HandSoldering",67.721400,-12.547600,270.000000,top
"D22","WHT","LED_0603_HandSoldering",76.763800,-6.502400,270.000000,top
"D23","WHT","LED_0603_HandSoldering",76.763800,-12.547600,90.000000,top
"D24","WHT","LED_0603_HandSoldering",85.196600,-6.502400,90.000000,top
"D25","WHT","LED_0603_HandSoldering",85.196600,-12.547600,270.000000,top
"SW1","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",11.125200,-9.525000,90.000000,top
"SW2","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",28.600400,-9.525000,270.000000,top
"SW3","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",46.050200,-9.525000,90.000000,top
"SW4","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",63.525400,-9.525000,90.000000,top
"SW5","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",80.975200,-9.525000,270.000000,top
