Designator,MidX,MidY,Rotation,Layer
D2,26.162,-117.348,0,top
D3,26.1112,-110.592,0,top
D4,40.6146,-97.028,0,top
D5,40.64,-90.17,0,top
D6,46.863,-78.4098,0,top
D7,55.1688,-78.4098,0,top
D8,51.6636,-84.4042,0,top
D9,61.0362,-94.2594,0,top
D10,59.7916,-105.588,0,top
D11,52.07,-105.816,0,top
D12,43.815,-105.918,0,top
D13,78.3336,-76.0476,0,top
D14,86.3092,-76.073,0,top
D15,88.4544,-70.028,0,top
D16,95.4162,-69.9772,0,top
D17,95.0468,-76.0476,0,top
D18,103.861,-76.1238,0,top
D19,126.023,-79.1212,0,top
D20,128.829,-73.4822,0,top
D21,136.703,-73.4822,0,top
D22,139.979,-79.0702,0,top
D23,133.008,-82.474,0,top
D24,121.514,-88.392,0,top
D25,121.691,-96.0882,0,top
D26,125.247,-105.715,0,top
D27,132.766,-105.664,0,top
D28,140.335,-105.639,0,top
D29,133.807,-116.129,0,top
D30,124.384,-116.129,0,top
D31,116.484,-116.103,0,top
D32,100.471,-118.389,0,top
D33,100.838,-110.363,0,top
D34,99.7458,-104.673,0,top
D35,86.614,-104.191,0,top
D36,89.4842,-110.261,0,top
D37,93.4604,-116.485,0,top
D38,86.3854,-116.459,0,top
D39,81.7626,-110.185,0,top
D40,75.6666,-116.256,0,top
D41,68.0974,-116.256,0,top
D42,60.4012,-116.256,0,top
D43,46.2026,-116.611,0,top
D44,37.4396,-118.72,0,top
D45,46.8884,-124.638,0,top
D46,55.2704,-124.612,0,top
D47,51.5874,-130.607,0,top
D48,61.6458,-140.437,0,top
D49,54.3306,-151.435,0,top
D50,47.334,-151.46,0,top
D51,41.3766,-140.564,0,top
D52,84.9884,-123.977,0,top
D53,84.963,-129.667,0,top
D54,74.422,-137.16,0,top
D55,74.3712,-143.662,0,top
D56,80.4418,-150.571,0,top
D57,87.503,-150.495,0,top
D58,95.123,-141.351,0,top
D59,102.972,-141.402,0,top
D60,125.578,-155.753,0,top
D61,147.091,-140.564,0,top
D62,150.673,-126.568,0,top
D63,143.713,-126.543,0,top
D64,125.171,-122.276,0,top
R1,81.6488,-101.08184,180,top
