"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0603_HandSoldering";1;"0.1uF";;;
2;"C2";"C_0603_HandSoldering";1;"100nF";;;
3;"C3";"C_0603_HandSoldering";1;"47uF";;;
4;"D1";"LED_0603_HandSoldering";1;"0,0";;;
5;"D2";"LED_0603_HandSoldering";1;"1,0";;;
6;"D3";"LED_0603_HandSoldering";1;"2,0";;;
7;"D4";"LED_0603_HandSoldering";1;"3,0";;;
8;"D7";"LED_0603_HandSoldering";1;"0,1";;;
9;"D8";"LED_0603_HandSoldering";1;"1,1";;;
10;"D9";"LED_0603_HandSoldering";1;"2,1";;;
11;"D10";"LED_0603_HandSoldering";1;"3,1";;;
12;"D13";"LED_0603_HandSoldering";1;"0,2";;;
13;"D14";"LED_0603_HandSoldering";1;"1,2";;;
14;"D15";"LED_0603_HandSoldering";1;"2,2";;;
15;"D16";"LED_0603_HandSoldering";1;"3,2";;;
16;"D18";"LED_0603_HandSoldering";1;"0,3";;;
17;"D19";"LED_0603_HandSoldering";1;"1.3";;;
18;"D20";"LED_0603_HandSoldering";1;"2,3";;;
19;"D21";"LED_0603_HandSoldering";1;"3,3";;;
20;"D22";"LED_0603_HandSoldering";1;"0.4";;;
21;"D23";"LED_0603_HandSoldering";1;"1.4";;;
22;"D24";"LED_0603_HandSoldering";1;"2,4";;;
23;"D25";"LED_0603_HandSoldering";1;"3,4";;;
24;"D26";"LED_0603_HandSoldering";1;"0.5";;;
25;"D27";"LED_0603_HandSoldering";1;"1.5";;;
26;"D28";"LED_0603_HandSoldering";1;"2,5";;;
27;"D29";"LED_0603_HandSoldering";1;"3,5";;;
28;"IC1";"SOIC-24W_7.5x15.4mm_Pitch1.27mm";1;"MAX7219";;;
29;"J1";"Molex_KK-6410-04_04x2.54mm_Straight";1;"PWR";;;
30;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS IN";;;
31;"J3";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS OUT";;;
32;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PGM ENBLE";;;
33;"MK1,MK2,MK3,MK4";"MountingHole_2.5mm";4;"Mounting_Hole";;;
34;"P1";"Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left";1;"Digital";;;
35;"P2";"Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left";1;"Analog";;;
36;"R2";"R_0603_HandSoldering";1;"120";;;
37;"Rset1";"R_0603_HandSoldering";1;"30K";;;
38;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX487EESA";;;
