"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"CC-BY-NC-SA-Small";1;"LOGO";;;
2;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
3;"C1";"C_0603_HandSoldering";1;"0.1uF";;;
4;"C2";"C_0603_HandSoldering";1;"100nF";;;
5;"C3";"C_0603_HandSoldering";1;"47uF";;;
6;"D1";"LED_0603_HandSoldering";1;"0,0";;;
7;"D2";"LED_0603_HandSoldering";1;"1,0";;;
8;"D3";"LED_0603_HandSoldering";1;"2,0";;;
9;"D4";"LED_0603_HandSoldering";1;"3,0";;;
10;"D7";"LED_0603_HandSoldering";1;"0,1";;;
11;"D8";"LED_0603_HandSoldering";1;"1,1";;;
12;"D9";"LED_0603_HandSoldering";1;"2,1";;;
13;"D10";"LED_0603_HandSoldering";1;"3,1";;;
14;"D13";"LED_0603_HandSoldering";1;"0,2";;;
15;"D14";"LED_0603_HandSoldering";1;"1,2";;;
16;"D15";"LED_0603_HandSoldering";1;"2,2";;;
17;"D16";"LED_0603_HandSoldering";1;"3,2";;;
18;"D18";"LED_0603_HandSoldering";1;"0,3";;;
19;"D19";"LED_0603_HandSoldering";1;"1.3";;;
20;"D20";"LED_0603_HandSoldering";1;"2,3";;;
21;"D21";"LED_0603_HandSoldering";1;"3,3";;;
22;"D22";"LED_0603_HandSoldering";1;"0.4";;;
23;"D23";"LED_0603_HandSoldering";1;"1.4";;;
24;"D24";"LED_0603_HandSoldering";1;"2,4";;;
25;"D25";"LED_0603_HandSoldering";1;"3,4";;;
26;"D26";"LED_0603_HandSoldering";1;"0.5";;;
27;"D27";"LED_0603_HandSoldering";1;"1.5";;;
28;"D28";"LED_0603_HandSoldering";1;"2,5";;;
29;"D29";"LED_0603_HandSoldering";1;"3,5";;;
30;"IC1";"SOIC-24W_7.5x15.4mm_Pitch1.27mm";1;"MAX7219";;;
31;"J1";"Molex_KK-6410-04_04x2.54mm_Straight";1;"PWR";;;
32;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS IN";;;
33;"J3";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS OUT";;;
34;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PGM ENBLE";;;
35;"MK1,MK2,MK3,MK4";"MountingHole_2.5mm";4;"Mounting_Hole";;;
36;"P1";"Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left";1;"Digital";;;
37;"P2";"Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left";1;"Analog";;;
38;"R2";"R_0603_HandSoldering";1;"120";;;
39;"Rset1";"R_0603_HandSoldering";1;"30K";;;
40;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX487EESA";;;
