Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",1.632921,1.424850,90.000000,top
"D1","0,0","LED_0603_HandSoldering",0.461843,1.381921,270.000000,top
"D2","1,0","LED_0603_HandSoldering",0.461843,0.984283,270.000000,top
"D3","2,0","LED_0603_HandSoldering",0.461843,0.586252,270.000000,top
"D4","3,0","LED_0603_HandSoldering",0.461843,0.188220,270.000000,top
"D7","0,1","LED_0603_HandSoldering",0.867748,1.381921,270.000000,top
"D8","1,1","LED_0603_HandSoldering",0.867748,0.984283,270.000000,top
"D9","2,1","LED_0603_HandSoldering",0.867748,0.586252,270.000000,top
"D10","3,1","LED_0603_HandSoldering",0.867748,0.188220,270.000000,top
"D13","0,2","LED_0603_HandSoldering",1.411055,1.381921,270.000000,top
"D14","1,2","LED_0603_HandSoldering",1.411055,0.984283,270.000000,top
"D15","2,2","LED_0603_HandSoldering",1.411055,0.586252,270.000000,top
"D16","3,2","LED_0603_HandSoldering",1.411055,0.188220,270.000000,top
"D18","0,3","LED_0603_HandSoldering",1.816961,1.381921,270.000000,top
"D19","1.3","LED_0603_HandSoldering",1.816961,0.984283,270.000000,top
"D20","2,3","LED_0603_HandSoldering",1.816961,0.586252,270.000000,top
"D21","3,3","LED_0603_HandSoldering",1.816961,0.188220,270.000000,top
"D22","0.4","LED_0603_HandSoldering",2.359874,1.381921,270.000000,top
"D23","1.4","LED_0603_HandSoldering",2.359874,0.984283,270.000000,top
"D24","2,4","LED_0603_HandSoldering",2.359874,0.586252,270.000000,top
"D25","3,4","LED_0603_HandSoldering",2.359874,0.188220,270.000000,top
"D26","0.5","LED_0603_HandSoldering",2.765780,1.381921,270.000000,top
"D27","1.5","LED_0603_HandSoldering",2.765780,0.984283,270.000000,top
"D28","2,5","LED_0603_HandSoldering",2.765780,0.586252,270.000000,top
"D29","3,5","LED_0603_HandSoldering",2.765780,0.188220,270.000000,top
