Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.508000,6.014000,270.000000,bottom
"C2","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.448000,4.124000,0.000000,bottom
"C3","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.972000,3.209000,270.000000,bottom
"C4","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.287000,1.898000,270.000000,bottom
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.082000,6.126000,90.000000,bottom
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.126000,6.285000,90.000000,bottom
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.243000,6.326646,90.000000,bottom
"U1","TCA9534","SOIC-16W_7.5x10.3mm_P1.27mm",6.130000,2.220000,0.000000,bottom
"U2","TCA9534","SOIC-16W_7.5x10.3mm_P1.27mm",0.260000,3.710000,90.000000,bottom
"U3","TCA9534","SOIC-16W_7.5x10.3mm_P1.27mm",6.135000,3.555000,270.000000,bottom
"U4","TCA9534","SOIC-16W_7.5x10.3mm_P1.27mm",1.325000,6.315000,0.000000,bottom
