Ref,Val,Package,PosX,PosY,Rot,Side
"DL_rocker1","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,0.674409,90.000000,top
"DL_rocker2","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,0.205512,90.000000,top
"DL_rocker3","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,0.674409,90.000000,top
"DL_rocker4","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,0.205512,90.000000,top
"DL_rocker5","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.242520,6.439370,0.000000,top
"DL_rocker6","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.599606,6.135433,0.000000,top
"DL_rocker7","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.167323,6.439370,0.000000,top
"DL_rocker8","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.810236,6.135433,0.000000,top
"SW1","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,4.582677,0.000000,top
"SW2","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,3.782677,0.000000,top
"SW3","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,2.982677,90.000000,top
"SW4","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,2.182677,90.000000,top
"SW5","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.172441,1.382677,90.000000,top
"SW6","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.685039,0.167323,0.000000,top
"SW7","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",2.444882,0.167323,0.000000,top
"SW8","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.205118,0.167323,0.000000,top
"SW9","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.964961,0.167323,0.000000,top
"SW10","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",4.725197,0.167323,0.000000,top
"SW11","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,1.382677,90.000000,top
"SW12","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,2.182677,180.000000,top
"SW13","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,2.982677,90.000000,top
"SW14","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,3.782677,270.000000,top
"SW15","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",6.237402,4.582677,270.000000,top
"SW16","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",4.725197,6.047638,180.000000,top
"SW17","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.964961,6.047638,180.000000,top
"SW18","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.205118,6.047638,180.000000,top
"SW19","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",2.444882,6.047638,180.000000,top
"SW20","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.685039,6.047638,180.000000,top
