Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",-19.500000,-20.450000,270.000000,bottom
"C2","100nF","C_0603_HandSoldering",-44.480000,-21.850000,0.000000,bottom
"C3","47uF","C_0603_HandSoldering",-44.450000,-23.530000,0.000000,bottom
"IC1","MAX7219","SOIC-24W_7.5x15.4mm_Pitch1.27mm",-46.315000,-31.120000,90.000000,bottom
"J4","PGM ENBLE","Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left",-4.230000,-6.655000,270.000000,bottom
"P1","Digital","Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left",-9.245000,-28.660000,180.000000,bottom
"P2","Analog","Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left",-24.490000,-28.670000,180.000000,bottom
"R1","120","R_0603_HandSoldering",-15.600000,-23.500000,0.000000,bottom
"R2","120","R_0603_HandSoldering",-16.100000,-20.500000,0.000000,bottom
"Rset1","30K","R_0603_HandSoldering",-48.550000,-21.870000,180.000000,bottom
"U1","MAX487EESA","SOIC-8_3.9x4.9mm_Pitch1.27mm",-16.716329,-14.163601,270.000000,bottom
