Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",16.800000,-20.400000,270.000000,bottom
"C2","100nF","C_0603_HandSoldering",39.800000,-36.600000,180.000000,bottom
"C3","47uF","C_0603_HandSoldering",39.800000,-39.100000,180.000000,bottom
"IC1","MAX7219","SOIC-24W_7.5x15.4mm_Pitch1.27mm",42.420652,-28.936332,270.000000,bottom
"J4","PGM ENBLE","Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left",4.200000,-6.350000,180.000000,bottom
"P1","Digital","Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left",21.295652,-28.776332,180.000000,bottom
"P2","Analog","Pin_Header_Straight_1x15_Pitch2.54mm_SMD_Pin1Left",6.050652,-28.766332,180.000000,bottom
"R1","120","R_0603_HandSoldering",13.550000,-22.050000,0.000000,bottom
"R2","120","R_0603_HandSoldering",13.550000,-19.800000,0.000000,bottom
"Rset1","30K","R_0603_HandSoldering",43.100000,-37.900000,90.000000,bottom
"U1","MAX487EESA","SOIC-8_3.9x4.9mm_Pitch1.27mm",13.521981,-14.269933,270.000000,bottom
