"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"CC-BY-NC-SA-Small";1;"LOGO";;;
2;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
3;"MK1,MK2,MK3,MK4";"Mouting_Hole_1.85mm";4;"Mounting_Hole";;;
4;"SW1";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"mode";;;
5;"SW2";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"qty";;;
6;"SW3";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"up";;;
7;"SW4";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"down";;;
8;"SW5";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"zone";;;
9;"SW6";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"ET";;;
10;"J1";"PinHeader_2x04_P2.54mm_Horizontal";1;"Conn_02x04_Male";;;
