Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WHT","LED_0603_HandSoldering",0.272197,-0.256000,270.000000,top
"D2","WHT","LED_0603_HandSoldering",0.272197,-0.494000,90.000000,top
"D4","WHT","LED_0603_HandSoldering",0.604197,-0.256000,90.000000,top
"D5","WHT","LED_0603_HandSoldering",0.604197,-0.494000,270.000000,top
"D7","WHT","LED_0603_HandSoldering",0.961000,-0.256197,270.000000,top
"D8","WHT","LED_0603_HandSoldering",0.961197,-0.494000,90.000000,top
"D11","WHT","LED_0603_HandSoldering",1.292197,-0.256000,90.000000,top
"D12","WHT","LED_0603_HandSoldering",1.292000,-0.494197,270.000000,top
"D13","WHT","LED_0603_HandSoldering",1.647197,-0.256000,270.000000,top
"D14","WHT","LED_0603_HandSoldering",1.647197,-0.494000,90.000000,top
"D15","WHT","LED_0603_HandSoldering",1.979197,-0.256000,90.000000,top
"D16","WHT","LED_0603_HandSoldering",1.979197,-0.494000,270.000000,top
"D18","WHT","LED_0603_HandSoldering",2.334197,-0.256000,270.000000,top
"D19","WHT","LED_0603_HandSoldering",2.334197,-0.494000,90.000000,top
"D20","WHT","LED_0603_HandSoldering",2.666000,-0.255803,90.000000,top
"D21","WHT","LED_0603_HandSoldering",2.666197,-0.494000,270.000000,top
"D22","WHT","LED_0603_HandSoldering",3.022197,-0.256000,270.000000,top
"D23","WHT","LED_0603_HandSoldering",3.022197,-0.494000,90.000000,top
"D24","WHT","LED_0603_HandSoldering",3.354197,-0.256000,90.000000,top
"D25","WHT","LED_0603_HandSoldering",3.354197,-0.494000,270.000000,top
"SW1","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.438000,-0.375000,90.000000,top
"SW2","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.126000,-0.375000,270.000000,top
"SW3","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.813000,-0.375000,90.000000,top
"SW4","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",2.501000,-0.375000,90.000000,top
"SW5","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.188000,-0.375000,270.000000,top
