"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"CC-BY-NC-SA-Small";1;"LOGO";;;
2;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
3;"P14";"PinHeader_2x18_P2.54mm_Vertical";1;"MEGA CONN 2";;;
4;"P15";"PinHeader_2x18_P2.54mm_Vertical";1;"MEGA CONN 1";;;
5;"P1";"Socket_Strip_Arduino_2x18";1;"Digital";;;
6;"P2";"Socket_Strip_Arduino_1x08";1;"Power";;;
7;"P3,P4";"Socket_Strip_Arduino_1x08";2;"Analog";;;
8;"P5";"Socket_Strip_Arduino_1x10";1;"PWM";;;
9;"P6";"Socket_Strip_Arduino_1x08";1;"PWM";;;
10;"P7";"Socket_Strip_Arduino_1x08";1;"Communication";;;
11;"P8,P10,P11,P13";"Arduino_1pin";4;"CONN_01X01";;;
