Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_Elec_6.3x7.7",1.015748,2.767717,180.000000,bottom
"C2","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.448819,3.872047,90.000000,bottom
"C3","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.313071,2.171836,270.000000,bottom
"C4","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.275591,0.484252,270.000000,bottom
"C5","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.456693,3.375984,270.000000,bottom
"C6","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.429134,1.834646,270.000000,bottom
"C7","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.996063,0.391732,270.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.448819,3.732283,270.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.370000,2.171836,270.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.275591,0.635827,90.000000,bottom
"C11","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.450000,3.005906,270.000000,bottom
"C12","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.370000,1.567402,90.000000,bottom
"C13","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.877953,0.245394,180.000000,bottom
"C14","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.437008,2.633858,270.000000,bottom
"C15","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.437008,1.050394,270.000000,bottom
"C16","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.405512,0.248031,0.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.450000,3.159449,90.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.310000,1.567402,90.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.877953,0.175394,180.000000,bottom
"J1","PWR IN ","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",3.145472,1.227953,0.000000,bottom
"J2","OLED DISP","PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left",1.334646,2.492126,270.000000,bottom
"J3","BRT/COMM2","PinHeader_2x03_P2.54mm_Vertical_SMD",0.606299,2.232283,0.000000,bottom
"J4","COM1 ENC","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",3.059055,2.500000,90.000000,bottom
"J5","COM2 ENC","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",2.480315,2.500000,90.000000,bottom
"J6","AP BTNS ","PinHeader_2x04_P2.54mm_Vertical_SMD",2.092165,0.540079,270.000000,bottom
"J7","HUD PANL","PinHeader_2x08_P2.54mm_Vertical_SMD",2.742165,0.540079,270.000000,bottom
"J8","HUD BIT","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",0.476378,1.212598,270.000000,bottom
"J9","ADF/COMM1","PinHeader_2x03_P2.54mm_Vertical_SMD",1.948819,2.484252,90.000000,bottom
"P1","MEGA CONN 2","PinHeader_2x18_P2.54mm_Vertical_SMD",2.006260,1.932402,270.000000,bottom
"P2","MEGA CONN 1","PinHeader_2x18_P2.54mm_Vertical_SMD",2.006260,1.332402,270.000000,bottom
"Q1","BSS138","SOT-23",1.692913,0.992126,90.000000,bottom
"Q2","BSS138","SOT-23",1.905512,0.996063,90.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.692913,0.858268,180.000000,bottom
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.905512,0.862205,0.000000,bottom
"R15","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.015748,3.472441,270.000000,bottom
"R16","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.019685,1.948819,270.000000,bottom
"R17","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.978346,0.986220,180.000000,bottom
"R27","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.015748,2.748031,270.000000,bottom
"R28","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.019685,1.149606,270.000000,bottom
"R29","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.303150,0.834646,0.000000,bottom
