Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_Elec_6.3x7.7",25.800000,70.300000,180.000000,bottom
"C2","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.600000,98.350000,90.000000,bottom
"C3","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",84.152000,55.164636,270.000000,bottom
"C4","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.200000,12.300000,270.000000,bottom
"C5","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.800000,85.750000,270.000000,bottom
"C6","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.100000,46.600000,270.000000,bottom
"C7","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.500000,9.950000,270.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.600000,94.800000,270.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.598000,55.164636,270.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.200000,16.150000,90.000000,bottom
"C11","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,76.350000,270.000000,bottom
"C12","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.598000,39.812000,90.000000,bottom
"C13","47uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.300000,6.233000,180.000000,bottom
"C14","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.300000,66.900000,270.000000,bottom
"C15","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.300000,26.680000,270.000000,bottom
"C16","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.700000,6.300000,0.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,80.250000,90.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",84.074000,39.812000,90.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.300000,4.455000,180.000000,bottom
"J1","PWR IN ","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",79.895000,31.190000,0.000000,bottom
"J2","OLED DISP","PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left",33.900000,63.300000,270.000000,bottom
"J3","BRT/COMM2","PinHeader_2x03_P2.54mm_Vertical_SMD",15.400000,56.700000,0.000000,bottom
"J4","COM1 ENC","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",77.700000,63.500000,90.000000,bottom
"J5","COM2 ENC","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",63.000000,63.500000,90.000000,bottom
"J6","AP BTNS ","PinHeader_2x04_P2.54mm_Vertical_SMD",53.141000,13.718000,270.000000,bottom
"J7","HUD PANL","PinHeader_2x08_P2.54mm_Vertical_SMD",69.651000,13.718000,270.000000,bottom
"J8","HUD BIT","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",12.100000,30.800000,270.000000,bottom
"J9","ADF/COMM1","PinHeader_2x03_P2.54mm_Vertical_SMD",49.500000,63.100000,90.000000,bottom
"P1","MEGA CONN 2","PinHeader_2x18_P2.54mm_Vertical_SMD",50.959000,49.083000,270.000000,bottom
"P2","MEGA CONN 1","PinHeader_2x18_P2.54mm_Vertical_SMD",50.959000,33.843000,270.000000,bottom
"Q1","BSS138","SOT-23",43.000000,25.200000,90.000000,bottom
"Q2","BSS138","SOT-23",48.400000,25.300000,90.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.000000,21.800000,180.000000,bottom
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.400000,21.900000,0.000000,bottom
"R15","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.000000,88.200000,270.000000,bottom
"R16","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.100000,49.500000,270.000000,bottom
"R17","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.050000,25.050000,180.000000,bottom
"R27","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.000000,69.800000,270.000000,bottom
"R28","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.100000,29.200000,270.000000,bottom
"R29","53.6k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.100000,21.200000,0.000000,bottom
