Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.055118,3.866142,270.000000,top
"D2","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.059055,3.062992,270.000000,top
"D3","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.057756,2.263780,270.000000,top
"D4","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.057756,1.228189,90.000000,top
"D5","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.057756,0.428189,90.000000,top
"D6","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.055118,3.629921,270.000000,top
"D7","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.059055,2.826772,270.000000,top
"D8","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.059055,2.027559,270.000000,top
"D9","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.057756,1.462598,90.000000,top
"D10","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.057756,0.662598,90.000000,top
"R1","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.929134,3.744094,270.000000,top
"R2","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.927165,2.927165,270.000000,top
"R3","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.007874,2.464567,90.000000,top
"R4","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.016693,1.030394,180.000000,top
"R5","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.992126,0.279528,180.000000,top
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.488189,0.984252,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2.114173,0.984252,180.000000,top
