Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.000000,98.200000,270.000000,top
"D2","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.100000,77.800000,270.000000,top
"D3","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.067000,57.500000,270.000000,top
"D4","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.067000,31.196000,90.000000,top
"D5","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.067000,10.876000,90.000000,top
"D6","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.000000,92.200000,270.000000,top
"D7","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.100000,71.800000,270.000000,top
"D8","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.100000,51.500000,270.000000,top
"D9","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.067000,37.150000,90.000000,top
"D10","WP914GDT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.067000,16.830000,90.000000,top
"R1","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.800000,95.100000,270.000000,top
"R2","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.750000,74.350000,270.000000,top
"R3","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.800000,62.600000,90.000000,top
"R4","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.024000,26.172000,180.000000,top
"R5","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.400000,7.100000,180.000000,top
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.800000,25.000000,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.700000,25.000000,180.000000,top
