Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,THRU,PinSocket_2x16_P2.54mm_Vertical,26.5,46.4,0.0,top
J2,GND,PinSocket_1x06_P2.54mm_Vertical,16.2,4.0,90.0,top
Q2,IRLML6402TRPBF,SOT-23,19.83,37.875,90.0,top
Q3,IRLML6402TRPBF,SOT-23,19.515,17.19,90.0,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,19.7925,32.43,0.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,19.7925,34.97,0.0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.625,27.35,0.0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,19.515,14.65,0.0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,19.515,12.11,180.0,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.625,7.03,0.0,top
