"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC","Manufacturer PN","Manufacturer_Name","Description"
"C1,C2,C3","3","100nF","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C307331.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXVVFWQVdYVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRZU1BIHxUDCw%3D%3D","C307331","CL05B104KB54PNC","","50V X7R 0402"
"C4,C5,C6","3","22uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C45783.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZaV11VQFdcUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlFbV1FeWQkaCgg%3D","C45783","CL21A226MAQNNNE","","X5R 25V 0805"
"C7","1","1pF","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C1550.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZaVlVTQ1daXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRXVVVIHxUDCw%3D%3D","C1550","0402CG1R0C500NT","","C0G 50V 0402"
"C8","1","10uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.lcsc.com/datasheet/C96446.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZaVlZeQVZbUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRbV0oOAwwC","C96446","CL10A106MA8NRNC","","X5R 25V 0603"
"D1","1","CDSOT23-SM712","","","","CDSOT23-SM712:CDSOT23-SM712","http://uk.rs-online.com/web/p/products/7673728","C404012","CDSOT23-SM712","","ESD DIODE 12VWM 7VWM 26VC 14VC SOT-23"
"D2","1","SS34","","","","SS34:SS34","https://datasheet.lcsc.com/szlcsc/MDD-Jiangsu-Yutai-Elec-SS34_C13762.pdf","C8678","SS34","MDD(Microdiode Semiconductor)","Schottky Barrier Diodes (SBD) SMA(DO-214AC) RoHS"
"D3","1","SMBJ12A","","","","SMBJ12A:SMBJ12A","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf","C151251","SMBJ12A","LITTELFUSE","13VWM 15.9VB 21.5VC"
"F1","1","1812L300_24SLER","","","","1812L300_24SLER:1812L300_24SLER","https://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_low_rho_datasheet.pdf.pdf","C1512049","1812L300/24SLER ","LITTELFUSE","24V 3A 6A 2W 3mΩ"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_DIN965","~","","","","Mounting Hole without connection"
"IC1","1","THVD1410DR","","","","THVD1410DR:THVD1410DR","http://www.ti.com/lit/gpn/THVD1410","C2671345","THVD1410DR","","3.3-V to 5-V RS-485 transceiver with +/-18-kV IEC ESD protection"
"IC2","1","TPS563300DRLR","","","","TPS563300DRLR:TPS563300DRLR","https://www.ti.com/lit/ds/symlink/tps563300.pdf?ts=1666035990155&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS563300","C5219249","TPS563300DRLR","","TPS563300 3.8-V to 28-V, 3-A Synchronous Buck Converter in SOT583 Package"
"J1,J2","2","39-28-8060","","","","39288060:39-28-8060","https://www.molex.com/pdm_docs/sd/039281023_sd.pdf","C505058","39288060","MOLEX","600V 9A 4.2mm 4.2mm 2x3P"
"J3,J5","2","PZ254V-11-02P","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C492401.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXUlVWT1RfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1hcU1RXWQkaCgg%3D","C492401","PZ254V-11-02P","XFCN","250V 3A 2.54mm 1x2P"
"J4,J12","2","PZ254V-11-03P","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C2937625.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXU1BfR1FaUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFXVlNIHxUDCw%3D%3D","C2937625","PZ254V-11-03P","PZ254V-11-03P,XFCN","250V 3A 2.54mm 1x3P"
"J6,J7","2","B2B-XH-A(LF)(SN)","","","","B2B-XH-A(LF)(SN):B2B-XH-A__LF__SN_","https://www.lcsc.com/datasheet/C158012.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXUlBRQVFaUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1hcU1RXWQkaCgg%3D","C158012","B2B-XH-A(LF)(SN)","JST","250V 3A 2.5mm 1x2P"
"J8,J9","2","B-2100S12P-B110","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C124388.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZdUF1XT1hYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","C124388","B-2100S12P-B110","Ckmtw","3A 2x6P 2.54mm 2.54mm"
"J11","1","2.54-2*2P","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","https://www.lcsc.com/datasheet/C66690.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZaVFdUQlFWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRfVVFXWQkaCgg%3D","C66690","2.54-2*2P","","3A 2.54mm 2.54mm 2*2P"
"JP1","1","SolderJumper_2_Open","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","Solder Jumper, 2-pole, open"
"L1","1","5.6uH","","","","SRP6060FA-5R6M:SRP6060FA-5R6M","https://www.bourns.com/docs/Product-Datasheets/SRP6060FA.pdf","C1332221","SRP6060FA-5R6M","Bourns","7.5A 10A 14.3mΩ ±20%"
"Q1,Q3","2","AO3400A","","","","AO3400A:AO3400A","http://aosmd.com/res/data_sheets/AO3400A.pdf","C20917","AO3400A","","30V 5.7A 48mΩ@2.5V 1.4W"
"Q2,Q4","2","IRLML6402TRPBF","","","","IRLML6402TRPBF:IRLML6402TRPBF","http://www.infineon.com/dgdl/irlml6402pbf.pdf?fileId=5546d462533600a401535668d5c2263c","C2593","IRLML6402TRPBF","","20V 3.7A 65mΩ@4.5V 1.3W"
"R1,R4,R5,R6,R7,R8,R9,R10,R11","9","10kΩ","","","","Resistor_SMD:R_0402_1005Metric","https://www.lcsc.com/datasheet/C25744.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXVVBUQlNXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","C25744","0402WGF1002TCE","","±1% 62.5mW 0402"
"R2,R3","2","10Ω","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/datasheet/C844598.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1dXVVJURVVXXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFFZVFdXWQkaCgg%3D","C844598","CRCW080510R0FKEAHP","","±1% 500mW 0805"
"R12","1","80.6kΩ","","","","Resistor_SMD:R_0402_1005Metric","https://www.lcsc.com/datasheet/C25921.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FAcMV1MEEgBaVVFeQ1VeBVNeEVdeVFQFFFZaU1cFEVMxVlNeR1ZaVlRXTlNdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1RZX1dIHxUDCw%3D%3D","C25921","0402WGF8062TCE","","±1% 62.5mW 0402"
"XU2","1","PRO_MICRO_5V/16MHZ","","","","PRO_MICRO_5V16MHZ:PRO_MICRO_5V16MHZ","https://cdn.sparkfun.com/assets/f/d/8/0/d/ProMicro16MHzv2.pdf","","PRO_MICRO_5V/16MHZ","","PRO MICRO ATMEGA32U4 5V/16MHZ"
