Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",127.260768,-75.457869,0.000000,bottom
"C2","100nF","C_0402_1005Metric",133.400000,-102.480000,-0.000000,bottom
"C3","100nF","C_0402_1005Metric",132.820000,-100.170000,-90.000000,bottom
"C4","22uF","C_0805_2012Metric",139.480000,-101.020000,90.000000,bottom
"C5","22uF","C_0805_2012Metric",141.500000,-101.020000,90.000000,bottom
"C6","22uF","C_0805_2012Metric",143.520000,-101.010000,90.000000,bottom
"C7","1pF","C_0402_1005Metric",136.910000,-99.730000,180.000000,bottom
"C8","10uF","C_0603_1608Metric",133.580000,-104.480000,90.000000,bottom
"D1","CDSOT23-SM712","CDSOT23-SM712",124.540768,-77.877869,90.000000,bottom
"D2","SS34","SS34",150.920000,-96.110000,-90.000000,bottom
"D3","SMBJ12A","SMBJ12A",144.170000,-105.030000,0.000000,bottom
"F1","1812L300_24SLER","1812L300_24SLER",137.470000,-104.690000,180.000000,bottom
"IC1","THVD1410DR","THVD1410DR",130.070768,-78.727869,180.000000,bottom
"IC2","SOTFL50P160X60-8N","TPS563300DRLR",134.640000,-100.600000,90.000000,bottom
"J6","B2B-XH-A(LF)(SN)","B2B-XH-A__LF__SN_",127.326538,-110.539903,90.000000,bottom
"J7","B2B-XH-A(LF)(SN)","B2B-XH-A__LF__SN_",127.331538,-118.499903,90.000000,bottom
"J8","B-2100S12P-B110","PinHeader_2x06_P2.54mm_Vertical",144.720000,-84.170000,180.000000,bottom
"J9","B-2100S12P-B110","PinHeader_2x06_P2.54mm_Vertical",144.720000,-66.390000,180.000000,bottom
"J11","2.54-2*2P","PinHeader_2x02_P2.54mm_Vertical",144.720000,-58.770000,180.000000,bottom
"L1","5.6uH","SRP6060FA-5R6M",134.720000,-94.830000,-90.000000,bottom
"Q1","AO3400A","AO3400A",139.620000,-116.710000,0.000000,bottom
"Q2","IRLML6402TRPBF","IRLML6402TRPBF",133.491784,-116.698520,180.000000,bottom
"Q3","AO3400A","AO3400A",139.630000,-113.040000,0.000000,bottom
"Q4","IRLML6402TRPBF","IRLML6402TRPBF",133.490000,-113.080000,180.000000,bottom
"R1","10kΩ","R_0402_1005Metric",132.800768,-74.997869,90.000000,bottom
"R2","10Ω","R_0805_2012Metric",130.641464,-83.222497,90.000000,bottom
"R3","10Ω","R_0805_2012Metric",128.681464,-83.212497,90.000000,bottom
"R4","10kΩ","R_0402_1005Metric",132.810768,-82.467869,90.000000,bottom
"R5","10kΩ","R_0402_1005Metric",135.968216,-116.171480,-90.000000,bottom
"R6","10kΩ","R_0402_1005Metric",136.968216,-116.181480,90.000000,bottom
"R7","10kΩ","R_0402_1005Metric",142.250000,-117.140000,-90.000000,bottom
"R8","10kΩ","R_0402_1005Metric",135.980000,-113.550000,90.000000,bottom
"R9","10kΩ","R_0402_1005Metric",136.980000,-113.560000,-90.000000,bottom
"R10","10kΩ","R_0402_1005Metric",142.260000,-113.910000,-90.000000,bottom
"R11","10kΩ","R_0402_1005Metric",136.470000,-101.180000,90.000000,bottom
"R12","80.6kΩ","R_0402_1005Metric",137.470000,-101.180000,-90.000000,bottom
"J1","39-28-8060","39-28-8060",125.770000,-68.940000,-90.000000,top
"J2","39-28-8060","39-28-8060",125.770000,-91.940000,-90.000000,top
"J3","PZ254V-11-02P","PinHeader_1x02_P2.54mm_Vertical",147.810000,-120.650000,90.000000,top
"J4","PZ254V-11-03P","PinHeader_1x03_P2.54mm_Vertical",134.130000,-109.080000,90.000000,top
"J5","PZ254V-11-02P","PinHeader_1x02_P2.54mm_Vertical",147.800000,-109.050000,90.000000,top
"J12","PZ254V-11-03P","PinHeader_1x03_P2.54mm_Vertical",134.110000,-120.650000,90.000000,top
"XU2","PRO_MICRO_5V/16MHZ","PRO_MICRO_5V16MHZ",143.560000,-75.240000,0.000000,top
