Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C3",C_0402_1005Metric,C307331,3
10kΩ,"R1,R10,R11,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25744,9
10uF,C8,C_0603_1608Metric,C96446,1
10Ω,"R2,R3",R_0805_2012Metric,C844598,2
1812L300_24SLER,F1,1812L300_24SLER,C1512049,1
1pF,C7,C_0402_1005Metric,C1550,1
2.54-2*2P,J11,PinHeader_2x02_P2.54mm_Vertical,C66690,1
22uF,"C4,C5,C6",C_0805_2012Metric,C45783,3
39-28-8060,"J1,J2",39-28-8060,C505058,2
5.6uH,L1,SRP6060FA-5R6M,C1332221,1
80.6kΩ,R12,R_0402_1005Metric,C25921,1
AO3400A,"Q1,Q3",AO3400A,C20917,2
B-2100S12P-B110,"J8,J9",PinHeader_2x06_P2.54mm_Vertical,C124388,2
B2B-XH-A(LF)(SN),"J6,J7",B2B-XH-A__LF__SN_,C158012,2
CDSOT23-SM712,D1,CDSOT23-SM712,C404012,1
IRLML6402TRPBF,"Q2,Q4",IRLML6402TRPBF,C2593,2
PZ254V-11-02P,"J3,J5",PinHeader_1x02_P2.54mm_Vertical,C492401,2
PZ254V-11-03P,"J12,J4",PinHeader_1x03_P2.54mm_Vertical,C2937625,2
S3MB,D2,SS34,C47524,1
SMBJ12A,D3,SMBJ12A,C151251,1
THVD1410DR,IC1,THVD1410DR,C2671345,1
TPS563300DRLR,IC2,TPS563300DRLR,C5219249,1
PRO_MICRO_5V/16MHZ,XU2,PRO_MICRO_5V16MHZ,,1
