Comment,Designator,Footprint,LCSC
0.1uF,"C1,C5",C_0805_2012Metric,C5120075
10uF,"C2,C3,C4",C_0805_2012Metric,C15850
600mV@1A,D1,D_SOD-323_HandSoldering,C191023
200mA,F1,Fuse_0805_2012Metric,C7472558
Mini-Fit Jr. 2x03,"J1,J2",Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,C505177
PinHeader_2x06,"J3,J4",PinHeader_2x06_P2.54mm_Vertical,C124388
PinHeader_1x06,J5,PinHeader_1x06_P2.54mm_Vertical,C37208
PinHeader_2x02,J6,PinHeader_2x02_P2.54mm_Vertical,C66690
10uH,L1,L_0603_1608Metric,C86083
105k,R1,R_0603_1608Metric,C141685
20k,R2,R_0603_1608Metric,C105575
MAX487EESA+T,U1,SOIC-8_3.9x4.9mm_P1.27mm,C116539
TPS560200,U2,SOT-23-5,C83671
ProMicro_5V/16Hz,XU1,DIP-24_W15.24mm_Socket,
