Comment,Designator,Footprint,LCSC
"MH","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"THRU","J1","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical",""
"GND","J2","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"CH1 OUT","J3","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"CH2 OUT","J4","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"CH1 PWR SEL","JP1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"CH1 SEL A","JP2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"CH2 PWR SEL","JP4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"CH2 SEL A","JP5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"OpenHornetLogoSmall","LOGO1","KiCAD Libraries:OH_LOGO_ONLY_11x6mm",""
"IRLML6402TRPBF","Q2,Q3","Package_TO_SOT_SMD:SOT-23","C2593"
"IRFB3206PBF","Q1,Q4","Package_TO_SOT_THT:TO-220-3_Vertical","C2642"
"10K","R1,R2,R3,R4,R5,R6","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
