Comment,Designator,Footprint,LCSC
560,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C1364372
150,"R1,R2,R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C1365790
Molex_Mini-Fit_Jr._1x02,"J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24",Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,C234186
56,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C3357490
Mini-Fit Jr. 2x03,"J25,J26",Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,C505177
Molex_Mini-Fit_Jr._2x04,"J10,J11,J4,J5,J6,J7,J8,J9",Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,C587470
Molex_Mini-fit_Jr._2x05,J3,Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical,C587474
Molex_Mini-Fit_Jr._2x12,J2,Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical,C587483
AMASS_XT60_M,"J28,J29",AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
AMASS_XT60_F,J30,AMASS_XT60-F_1x02_P7.20mm_Vertical,C98734
Green,D5,LED_D3.0mm,
Green,D2,LED_D3.0mm,
Blue,D1,LED_D3.0mm,
Green,D3,LED_D3.0mm,
Green,D4,LED_D3.0mm,
PinHeader_1x04,J1,PinHeader_1x04_P2.54mm_Vertical,
