Comment,Designator,Footprint,LCSC
5V Accessory 1,"J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24",Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,C234186
PCIE IN 2,"J25,J26",Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,C505177
MEGA BUS 7,"J10,J11,J4,J5,J6,J7,J8,J9",Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,C587470
ABSIS BACKLIGHT,J3,Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical,C587474
ATX-24,J2,Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical,C587483
EXTERNAL 5V IN,"J28,J30",AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
BUTTKICKER AMP,J29,AMASS_XT60-F_1x02_P7.20mm_Vertical,C98734
150,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
560,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
150,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
56,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
150,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Green LED,D5,LED_D3.0mm,
Green LED,D2,LED_D3.0mm,
Blue LED,D1,LED_D3.0mm,
Green LED,D3,LED_D3.0mm,
Green LED,D4,LED_D3.0mm,
I/O,J1,PinHeader_1x04_P2.54mm_Vertical,
