Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Blue LED,LED_D3.0mm,87.694,-121.6456,90.0,top
D2,Green LED,LED_D3.0mm,92.266,-121.6456,90.0,top
D3,Green LED,LED_D3.0mm,96.838,-121.6456,90.0,top
D4,Green LED,LED_D3.0mm,101.41,-121.6456,90.0,top
D5,Green LED,LED_D3.0mm,106.01,-121.5976,90.0,top
J1,I/O,PinHeader_1x04_P2.54mm_Vertical,67.801,-121.158,90.0,top
J2,ATX-24,Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical,69.2488,-64.9224,-90.0,top
J3,ABSIS BACKLIGHT,Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical,102.4856,-76.6646,-90.0,top
J4,MEGA BUS 1,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,119.5383,-76.6646,-90.0,top
J5,MEGA BUS 2,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,136.591,-76.6646,-90.0,top
J6,MEGA BUS 3,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,153.6437,-76.6646,-90.0,top
J7,MEGA BUS 4,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,170.6964,-76.6646,-90.0,top
J8,MEGA BUS 5,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,119.5383,-103.3018,-90.0,top
J9,MEGA BUS 6,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,136.591,-103.3018,-90.0,top
J10,MEGA BUS 7,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,153.6437,-103.3018,-90.0,top
J11,MEGA BUS 8,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,170.6964,-103.3018,-90.0,top
J12,5V Accessory 1,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,78.5198,-63.0936,180.0,top
J13,5V Accessory 2,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,85.5048,-63.0936,180.0,top
J14,5V Accessory 3,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,92.4898,-63.0936,180.0,top
J15,5V Accessory 4,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,99.4748,-63.0936,180.0,top
J16,5V Accessory 5,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,106.4598,-63.0936,180.0,top
J17,5V Accessory 6,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,113.4448,-63.0936,180.0,top
J18,5V Accessory 7,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,120.4298,-63.0936,180.0,top
J19,5V Accessory 8,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,127.4148,-63.0936,180.0,top
J20,12V Accessory 1,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,168.8676,-63.0936,180.0,top
J21,12V Accessory 2,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,162.093058,-63.1072,180.0,top
J22,12V Accessory 3,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,155.089916,-63.1072,180.0,top
J23,12V Accessory 4,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,148.086774,-63.1072,180.0,top
J24,12V Accessory 5,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,141.083632,-63.1072,180.0,top
J25,PCIE IN 2,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,51.75,-85.0,180.0,top
J26,PCIE IN 1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,51.75,-70.75,180.0,top
J28,EXTERNAL 5V IN,AMASS_XT60-M_1x02_P7.20mm_Vertical,78.2284,-74.6768,0.0,top
J29,BUTTKICKER AMP,AMASS_XT60-F_1x02_P7.20mm_Vertical,45.0552,-96.5264,0.0,top
J30,EXTERNAL 12V IN,AMASS_XT60-M_1x02_P7.20mm_Vertical,45.0552,-109.4268,0.0,top
R1,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,87.694,-116.8101,90.0,top
R2,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,92.266,-116.8101,90.0,top
R3,56,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,96.838,-116.8101,90.0,top
R4,560,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,101.41,-116.8101,90.0,top
R5,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,106.02,-116.7476,90.0,top
