Ref,Val,Package,PosX,PosY,Rot,Side
"P1","Power","PinHeader_1x08_P2.54mm_Vertical",17.145000,2.540000,-90.000000,bottom
"P2","Analog","PinHeader_1x08_P2.54mm_Vertical",40.001201,2.540000,-90.000000,bottom
"P3","Analog","PinHeader_1x08_P2.54mm_Vertical",62.865000,2.540000,-90.000000,bottom
"P4","Digital","PinHeader_2x18_P2.54mm_Vertical",83.185000,7.620000,0.000000,bottom
"P5","PWM","PinHeader_1x10_P2.54mm_Vertical",8.001000,50.800000,-90.000000,bottom
"P6","PWM","PinHeader_1x08_P2.54mm_Vertical",34.925000,50.800000,-90.000000,bottom
"P7","Communication","PinHeader_1x08_P2.54mm_Vertical",57.785000,50.800000,-90.000000,bottom
"C1","0.1uF","C_0805_2012Metric",73.000000,43.050000,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",50.000000,43.000000,-90.000000,top
"C3","0.1uF","C_0805_2012Metric",27.180000,43.010000,-90.000000,top
"D1","CDSOT23-SM712","CDSOT23-SM712",46.120000,33.960000,90.000000,top
"D2","CDSOT23-SM712","CDSOT23-SM712",69.160000,33.970000,90.000000,top
"D3","CDSOT23-SM712","CDSOT23-SM712",23.400000,34.000000,90.000000,top
"D4","SS54","SS54",32.570000,9.420000,-90.000000,top
"IC1","THVD1410DR","THVD1410DR",69.180000,45.050000,-90.000000,top
"IC2","THVD1410DR","THVD1410DR",46.170000,45.030000,-90.000000,top
"IC3","THVD1410DR","THVD1410DR",23.390000,45.050000,-90.000000,top
"J1","Mini-Fit Jr. 2x04","Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical",59.690000,14.000000,0.000000,top
"J2","Mini-Fit Jr. 2x03","Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",64.770000,29.210000,0.000000,top
"J3","Mini-Fit Jr. 2x03","Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",41.910000,29.210000,0.000000,top
"J4","Mini-Fit Jr. 2x03","Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",19.050000,29.210000,0.000000,top
"J5","PinHeader_2x11","PinHeader_2x11_P2.54mm_Vertical",4.360000,44.440000,0.000000,top
"R1","10kΩ","R_0805_2012Metric",63.780000,45.090000,180.000000,top
"R2","10kΩ","R_0805_2012Metric",40.220000,47.700000,180.000000,top
"R3","10kΩ","R_0805_2012Metric",19.600000,47.060000,-90.000000,top
"R4","10Ω","R_0805_2012Metric",70.120000,39.560000,-90.000000,top
"R5","10Ω","R_0805_2012Metric",68.150000,39.560000,-90.000000,top
"R6","120Ω","R_0805_2012Metric",69.160000,36.860000,180.000000,top
"R7","10kΩ","R_0805_2012Metric",73.000000,46.510000,90.000000,top
"R8","10kΩ","R_0805_2012Metric",49.980000,46.430000,90.000000,top
"R9","10Ω","R_0805_2012Metric",47.170000,39.560000,-90.000000,top
"R10","10Ω","R_0805_2012Metric",45.180000,39.570000,-90.000000,top
"R11","120Ω","R_0805_2012Metric",46.150000,36.860000,180.000000,top
"R12","10kΩ","R_0805_2012Metric",27.180000,46.450000,90.000000,top
"R13","10Ω","R_0805_2012Metric",24.370000,39.580000,-90.000000,top
"R14","10Ω","R_0805_2012Metric",22.410000,39.580000,-90.000000,top
"R15","120Ω","R_0805_2012Metric",23.440000,36.890000,180.000000,top
