Comment,Designator,Footprint,LCSC
MAX487EESA+T,"U1,U2,U3",SOIC-8_3.9x4.9mm_P1.27mm,C116539
120,"R1,R2,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17437
0.1uF,"C1,C2,C3",C_0805_2012Metric,C49678
Mini-Fit Jr. 2x03,"J2,J3,J4",Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,C505177
Mini-Fit Jr. 2x04,J1,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,C587470
PinHeader_2x11,J5,PinHeader_2x11_P2.54mm_Vertical,
Digital,P4,PinHeader_2x18_P2.54mm_Vertical,
Power,P1,PinHeader_1x08_P2.54mm_Vertical,
Analog,P3,PinHeader_1x08_P2.54mm_Vertical,
PWM,P5,PinHeader_1x10_P2.54mm_Vertical,
PWM,P6,PinHeader_1x08_P2.54mm_Vertical,
Communication,P7,PinHeader_1x08_P2.54mm_Vertical,
Analog,P2,PinHeader_1x08_P2.54mm_Vertical,
