"Reference","Value","Datasheet","Footprint","Qty","DNP","#","LCSC","Manufacturer PN","Description"
"C1,C2,C3","0.1uF","https://datasheet.lcsc.com/szlcsc/YAGEO-CChttps://datasheet.lcsc.com/szlcsc/YAGEO-https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX7R9BB104_C49678.pdf","Capacitor_SMD:C_0805_2012Metric","3","","1","C49678","CC0805KRX7R9BB104","X7R ±10% 50V"
"D1,D2,D3","CDSOT23-SM712","https://www.lcsc.com/datasheet/C404012.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=QVANA1IAQ1NcXlYHTgJWBlQDElJXVVwDFFlXAVEFRwcxVlNRT1RWVFxQR1BWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1VaUl1eWQkaCgg%3D","CDSOT23-SM712:CDSOT23-SM712","3","","2","C404012","CDSOT23-SM712","ESD 12VWM 7VWM 26VC 14VC"
"D4","SS54","https://datasheet.lcsc.com/szlcsc/1903042030_MDD-Jiangsu-Yutai-Elec-SS54_C16103.pdf","SS54:SS54","1","","3","C22452","SS54","SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER."
"IC1,IC2,IC3","THVD1410DR","https://www.ti.com/lit/ds/symlink/thvd1410.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1778506322792&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fthvd1410","THVD1410DR:THVD1410DR","3","","4","C2671345","THVD1410DR","3.3-V to 5-V RS-485 transceiver with +/-18-kV IEC ESD protection"
"J1","Mini-Fit Jr. 2x04","https://datasheet.lcsc.com/lcsc/2007161933_MOLEX-39299084_C587470.pdf","OH_Footprints:Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical","1","","5","C587470","39-29-9084",""
"J2,J3,J4","Mini-Fit Jr. 2x03","https://datasheet.lcsc.com/lcsc/2005291105_MOLEX-39299062_C505177.pdf","OH_Footprints:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical","3","","6","C505177","39-29-9062",""
"J5","PinHeader_2x11","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf","Connector_PinHeader_2.54mm:PinHeader_2x11_P2.54mm_Vertical","1","","7","","PH2-11-UA",""
"P1","Power","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","","8","","",""
"P2,P3","Analog","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","2","","9","","",""
"P4","Digital","","Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical","1","","10","","",""
"P5,P6","PWM","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2","","11","","",""
"P7","Communication","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","","12","","",""
"R1,R2,R3,R7,R8,R12","10kΩ","https://www.lcsc.com/datasheet/C140868.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.3.xh&lcsc_vid=QVANA1IAQ1NcXlYHTgJWBlQDElJXVVwDFFlXAVEFRwcxVlNRT1RWU1VfR1dYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVdZVldSQk8GEwkK","Resistor_SMD:R_0805_2012Metric","6","","13","C140868","AC0805FR-0710KL","±1% 125mW"
"R4,R5,R9,R10,R13,R14","10Ω","https://www.vishay.com/docs/20043/crcwhpe3.pdf","Resistor_SMD:R_0805_2012Metric","6","","14","C844598","CRCW080510R0FKEAHP","±1% 500mW"
"R6,R11,R15","120Ω","https://www.lcsc.com/datasheet/C844816.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QVANA1IAQ1NcXlYHTgJWBlQDElJXVVwDFFlXAVEFRwcxVlNRT1RWU1VfR1dYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVdZVldSQk8GEwkK","Resistor_SMD:R_0805_2012Metric","3","","15","C844816","CRCW0805120RFKEA","±1% 125mW"
"TP1","TP-12","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1","","16","","",""
"TP2","TP-5V","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1","","17","","",""
"TP3","TP-3.3V","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1","","18","","",""
"TP4","TP-GND","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","1","","19","","",""
"TP11,TP13,TP15","TP-B1B","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","3","","20","","",""
"TP12,TP14,TP16","TP-B1A","~","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","3","","21","","",""
