Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"PWR IN","J1","Connector_Molex:Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical",""
"BUS #1","J2","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",""
"OpenHornetLogoSmall","LOGO1","KiCAD Libraries:OH_LOGO_37.7mm_5.9mm",""
"OpenHornetLogoSmall","LOGO3","KiCAD Libraries:CC-BY-NC-SA-Small",""
"OpenHornetLogoSmall","LOGO4","KiCAD Libraries:OH_LOGO_LARGE",""
"MH","MK1,MK3,MK4,MK6","Socket_Arduino_Mega:Arduino_1pin",""
"120","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17437"
"TP-12","TP1","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-5V","TP2","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-3.3V","TP3","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-GND","TP4","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-B1B","TP5","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-B1A","TP6","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"ProMicro","U0","Package_DIP:DIP-24_W15.24mm_Socket","C72120"
"MAX487EESA+T","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C116539"
