Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C2,C_0805_2012Metric,C49678,1
10kΩ,"R1,R7",R_0805_2012Metric,C140868,2
10Ω,"R4,R5",R_0805_2012Metric,C844598,2
CDSOT23-SM712,D1,CDSOT23-SM712,C404012,1
Mini-Fit Jr. 2x03,"J1,J2",Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,C589019,2
PinHeader_2x02,J7,PinHeader_2x02_P2.54mm_Vertical,C66690,1
S3MB,D2,D_SMB,C47524,1
THVD1410DR,IC2,THVD1410DR,C2671345,1
PinHeader_2x10,J5,PinHeader_2x10_P2.54mm_Vertical,,1
PinHeader_2x10,J6,PinHeader_2x10_P2.54mm_Vertical,,1
PinHeader_2x11,J3,PinHeader_2x11_P2.54mm_Vertical,,1
PinHeader_2x10,J4,PinHeader_2x10_P2.54mm_Vertical,,1
PinHeader_1x02,JP1,PinHeader_1x02_P2.54mm_Vertical,,1
PinHeader_2x18,J14,PinHeader_2x18_P2.54mm_Vertical,,1
PinHeader_1x08,J8,PinHeader_1x08_P2.54mm_Vertical,,1
PinHeader_1x08,J10,PinHeader_1x08_P2.54mm_Vertical,,1
PinHeader_1x08,J12,PinHeader_1x08_P2.54mm_Vertical,,1
PinHeader_1x10,J9,PinHeader_1x10_P2.54mm_Vertical,,1
PinHeader_1x08,J11,PinHeader_1x08_P2.54mm_Vertical,,1
PinHeader_1x08,J13,PinHeader_1x08_P2.54mm_Vertical,,1
