Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,19.812,22.86,180.0,top
J1,BUS IN,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,10.16,35.56,90.0,top
J2,BUS OUT,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,10.16,9.525,90.0,top
J3,DIGITAL #1,PinHeader_2x11_P2.54mm_Vertical,27.94,38.1,90.0,top
J4,ANALOG I/O,PinHeader_2x10_P2.54mm_Vertical,30.48,15.24,90.0,top
J5,DIGITAL #2,PinHeader_2x10_P2.54mm_Vertical,85.217,17.7165,-90.0,top
J6,DIGITAL #3,PinHeader_2x10_P2.54mm_Vertical,85.979,40.513,-90.0,top
J7,ACC PWR,PinHeader_2x02_P2.54mm_Vertical,21.59,11.938,0.0,top
JP1,BUS ENABLE,PinHeader_1x02_P2.54mm_Vertical,26.416,21.844,-90.0,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,21.59,26.67,180.0,top
