Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,19.812,22.86,180.0,top
J1,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,6.885,39.76,90.0,top
J2,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,6.885,13.725,90.0,top
J3,PinHeader_2x11,PinHeader_2x11_P2.54mm_Vertical,40.64,39.375,90.0,top
J4,PinHeader_2x10,PinHeader_2x10_P2.54mm_Vertical,41.905,16.515,90.0,top
J5,PinHeader_2x10,PinHeader_2x10_P2.54mm_Vertical,73.792,16.4415,-90.0,top
J6,PinHeader_2x10,PinHeader_2x10_P2.54mm_Vertical,74.554,39.238,-90.0,top
J7,PinHeader_2x02,PinHeader_2x02_P2.54mm_Vertical,22.865,10.663,0.0,top
J8,PinHeader_1x08,PinHeader_1x08_P2.54mm_Vertical,34.275,2.54,270.0,bottom
J9,PinHeader_1x10,PinHeader_1x10_P2.54mm_Vertical,27.681,50.8,270.0,bottom
J10,PinHeader_1x08,PinHeader_1x08_P2.54mm_Vertical,57.135,2.54,270.0,bottom
J11,PinHeader_1x08,PinHeader_1x08_P2.54mm_Vertical,52.055,50.8,270.0,bottom
J12,PinHeader_1x08,PinHeader_1x08_P2.54mm_Vertical,79.995,2.54,270.0,bottom
J13,PinHeader_1x08,PinHeader_1x08_P2.54mm_Vertical,74.915,50.8,270.0,bottom
J14,PinHeader_2x18,PinHeader_2x18_P2.54mm_Vertical,92.715,29.195,180.0,bottom
JP1,PinHeader_1x02,PinHeader_1x02_P2.54mm_Vertical,25.141,21.844,-90.0,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,21.59,26.67,180.0,top
