Ref,Val,Package,PosX,PosY,Rot,Side
"J8","PinHeader_1x08","PinHeader_1x08_P2.54mm_Vertical",25.400000,2.540000,-90.000000,bottom
"J9","PinHeader_1x10","PinHeader_1x10_P2.54mm_Vertical",16.256000,50.800000,-90.000000,bottom
"J10","PinHeader_1x08","PinHeader_1x08_P2.54mm_Vertical",48.260000,2.540000,-90.000000,bottom
"J11","PinHeader_1x08","PinHeader_1x08_P2.54mm_Vertical",43.180000,50.800000,-90.000000,bottom
"J12","PinHeader_1x08","PinHeader_1x08_P2.54mm_Vertical",71.120000,2.540000,-90.000000,bottom
"J13","PinHeader_1x08","PinHeader_1x08_P2.54mm_Vertical",66.040000,50.800000,-90.000000,bottom
"J14","PinHeader_2x18","PinHeader_2x18_P2.54mm_Vertical",91.440000,7.620000,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",15.840000,30.316000,180.000000,top
"D1","CDSOT23-SM712","CDSOT23-SM712",22.397166,26.473074,180.000000,top
"D2","SS54","SS54",33.500000,7.406000,0.000000,top
"IC2","THVD1410DR","THVD1410DR",13.297166,26.503074,0.000000,top
"J1","Mini-Fit Jr. 2x03","Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal",10.160000,35.560000,90.000000,top
"J2","Mini-Fit Jr. 2x03","Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal",10.160000,9.525000,90.000000,top
"J3","PinHeader_2x11","PinHeader_2x11_P2.54mm_Vertical",27.940000,38.100000,90.000000,top
"J4","PinHeader_2x10","PinHeader_2x10_P2.54mm_Vertical",30.480000,15.240000,90.000000,top
"J5","PinHeader_2x10","PinHeader_2x10_P2.54mm_Vertical",85.217000,17.716500,-90.000000,top
"J6","PinHeader_2x10","PinHeader_2x10_P2.54mm_Vertical",85.979000,40.513000,-90.000000,top
"J7","PinHeader_2x02","PinHeader_2x02_P2.54mm_Vertical",21.710000,12.136000,0.000000,top
"JP1","PinHeader_1x02","PinHeader_1x02_P2.54mm_Vertical",26.416000,21.844000,-90.000000,top
"R1","10kΩ","R_0805_2012Metric",11.680000,21.686000,180.000000,top
"R4","10Ω","R_0805_2012Metric",18.757166,27.483074,0.000000,top
"R5","10Ω","R_0805_2012Metric",18.757166,25.533074,0.000000,top
"R7","10kΩ","R_0805_2012Metric",11.267166,30.283074,180.000000,top
