Comment,Designator,Footprint,LCSC
Conn_01x04_Female,"J10,J11,J8,J9",FanPinHeader_1x04_P2.54mm_Vertical,C240840
Conn_01x02_Female,"J12,J13,J14,J15,J28,J29,J30,J31,J32",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C293316
Conn_01x04_Female,"J1,J2,J3,J4,J5,J6",Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,C293502
Conn_01x24_Female,J27,Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,C587483
Conn_01x02_Female,J16,BarrelJack_Horizontal,
Conn_01x02_Female,J17,BarrelJack_Horizontal,
Conn_01x02_Female,J18,BarrelJack_Horizontal,
Conn_01x02_Female,J19,BarrelJack_Horizontal,
Conn_01x02_Female,J21,BarrelJack_Horizontal,
Conn_01x02_Female,J22,BarrelJack_Horizontal,
Conn_01x02_Female,J23,BarrelJack_Horizontal,
Conn_01x02_Female,J24,BarrelJack_Horizontal,
Conn_01x08_Female,J26,PinHeader_2x04_P2.54mm_Vertical,
Conn_01x02_Female,J20,BarrelJack_Horizontal,
Conn_01x02_Female,J25,BarrelJack_Horizontal,
Conn_01x07_Female,J7,PinHeader_1x07_P2.54mm_Vertical,
R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
