Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,23.5,-14.4,180.0,top
J2,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,34.68,-14.4,180.0,top
J3,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,45.86,-14.4,180.0,top
J4,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,57.04,-14.4,180.0,top
J5,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,68.22,-14.4,180.0,top
J6,Conn_01x04_Female,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,79.4,-14.4,180.0,top
J7,Conn_01x07_Female,PinHeader_1x07_P2.54mm_Vertical,39.64,-2.2,90.0,top
J8,Conn_01x04_Female,FanPinHeader_1x04_P2.54mm_Vertical,25.8064,-91.948,90.0,top
J9,Conn_01x04_Female,FanPinHeader_1x04_P2.54mm_Vertical,33.3587,-91.948,90.0,top
J10,Conn_01x04_Female,FanPinHeader_1x04_P2.54mm_Vertical,52.8828,-91.948,90.0,top
J11,Conn_01x04_Female,FanPinHeader_1x04_P2.54mm_Vertical,60.1472,-91.948,90.0,top
J12,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,68.326,-90.0176,180.0,top
J13,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,74.5236,-89.9668,180.0,top
J14,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,80.7212,-89.9668,180.0,top
J15,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,86.9696,-89.9668,180.0,top
J16,Conn_01x02_Female,BarrelJack_Horizontal,81.0,-27.1,180.0,top
J17,Conn_01x02_Female,BarrelJack_Horizontal,80.9752,-40.0288,180.0,top
J18,Conn_01x02_Female,BarrelJack_Horizontal,80.9752,-52.9576,180.0,top
J19,Conn_01x02_Female,BarrelJack_Horizontal,80.9752,-65.8864,180.0,top
J20,Conn_01x02_Female,BarrelJack_Horizontal,80.9752,-78.8152,180.0,top
J21,Conn_01x02_Female,BarrelJack_Horizontal,14.0236,-24.1,0.0,top
J22,Conn_01x02_Female,BarrelJack_Horizontal,14.0236,-36.6358,0.0,top
J23,Conn_01x02_Female,BarrelJack_Horizontal,14.0236,-49.1716,0.0,top
J24,Conn_01x02_Female,BarrelJack_Horizontal,14.0236,-61.7074,0.0,top
J25,Conn_01x02_Female,BarrelJack_Horizontal,14.0236,-74.2432,0.0,top
J26,Conn_01x08_Female,PinHeader_2x04_P2.54mm_Vertical,40.1828,-86.2076,90.0,top
J27,Conn_01x24_Female,Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,43.18,-69.6188,90.0,top
J28,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,18.6436,-85.7504,90.0,top
J29,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,18.5928,-92.2528,90.0,top
J30,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,10.668,-85.7504,90.0,top
J31,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,10.6172,-92.2528,90.0,top
J32,Conn_01x02_Female,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,58.2168,-75.9968,180.0,top
R1,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.98,-16.9,0.0,top
