Comment,Designator,Footprint,LCSC
330,"R5,R6",0603-RES,C105881
10uF,"C1,C2",CP_EIA-3216-18_Kemet-A,C110055
ATMEGA32U4,U3,QFN-44-NOPAD_1_1-OUTFAKES,C112161
500mA,F1,PTC-1206,C136341
MIC5219,U1,SOT-23-5,C144182
1uF,"C3,C5,C6",C_0603_1608Metric,C1592
1K,R1,R_0603_1608Metric,C22548
22,"R2,R3",0603-RES,C23345
ZX62-AB-5PA(31),USB1,USB-AB-MICRO-SMD-V03-IN&OUT,C2692071
1N4448WX-TP,"D1,D5",SOD-323,C2892573
16MHz,Y1,CRYSTAL-SMD-5X3,C362491
Green,D3,LED-0603,C434423
22pF,"C8,C9",0603-CAP,C599692
0.1uF,"C4,C7",C_0603_1608Metric,C696360
Yellow,D4,LED-0603,C74343
Red,D2,LED-0603,C84263
10K,R4,0603-RES,C98220
SOLDERJUMPERNC,SJ1,SJ_2S,
