Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_EIA-3216-18_Kemet-A,152.333959,-99.710241,-90.0,top
C2,10uF,CP_EIA-3216-18_Kemet-A,144.6784,-99.710241,-90.0,top
C3,1uF,C_0603_1608Metric,144.0688,-113.6396,90.0,top
C4,0.1uF,C_0603_1608Metric,152.8191,-113.3856,90.0,top
C5,1uF,0603-CAP,152.3238,-96.47936,180.0,top
C6,1uF,0603-CAP,144.465037,-103.377994,180.0,top
C7,0.1uF,0603-CAP,152.3492,-102.95636,180.0,top
C8,22pF,0603-CAP,150.4696,-116.586,180.0,top
C9,22pF,0603-CAP,146.558,-116.586,180.0,top
D1,1N4448WX-TP,SOD-323,148.5011,-94.9452,180.0,top
D2,Red,LED-0603,144.6784,-96.47936,-90.0,top
D3,Green,LED-0603,152.8191,-116.6876,180.0,top
D4,Yellow,LED-0603,144.1831,-116.6876,180.0,top
D5,1N4448WX-TP,SOD-323,155.3972,-89.7636,0.0,top
F1,500mA,PTC-1206,148.5011,-96.7486,180.0,top
R1,1K,R_0603_1608Metric,144.6784,-95.026482,0.0,top
R2,22,0603-RES,152.3111,-95.026482,180.0,top
R3,22,0603-RES,152.3111,-93.5736,180.0,top
R4,10K,0603-RES,144.6911,-93.5736,0.0,top
R5,330,0603-RES,152.8191,-119.7356,90.0,top
R6,330,0603-RES,144.1831,-119.7356,90.0,top
SJ1,SOLDERJUMPERNC,SJ_2S,140.8811,-89.7636,180.0,top
U1,MIC5219,SOT-23-5,148.747481,-99.659438,180.0,top
U3,ATMEGA32U4,QFN-44-NOPAD_1_1-OUTFAKES,148.5011,-107.5436,-45.0,top
USB1,ZX62-AB-5PA(31),USB-AB-MICRO-SMD-V03-IN&OUT,148.5011,-92.3511,-90.0,top
Y1,16MHz,CRYSTAL-SMD-5X3,148.5011,-119.3546,0.0,top
