Comment,Designator,Footprint,LCSC Part Number
1N4001W,"D1,D2,D3,D4,D5,D6",Diode_SMD:D_SOD-123,C162732
PWR,J1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
INPUT,J2,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,
OUT1,J3,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
OUT2,J4,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
OUT3,J5,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
OUT4,J6,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
OUT5,J7,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
OUT6,J8,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
IRFB3206PBF,"Q1,Q2,Q3,Q4,Q5,Q6",Package_TO_SOT_THT:TO-220-3_Vertical,C2642
10K,"R1,R2,R3,R4,R5,R6",Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder, C17902
