Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_HandSoldering",1.115000,1.270000,180.000000,top
"R1","120","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",1.275000,1.475000,270.000000,top
"R2","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.141732,1.102362,270.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.271654,1.102362,270.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.405512,1.102362,270.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.140000,1.290354,270.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.205000,0.959646,90.000000,top
"R7","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.405000,0.949646,90.000000,top
"SW1","ENABLE","SW_DIP_x4_W6.15mm_Slide_Omron_A6H",0.481260,1.445000,0.000000,top
"U1","MAX487EESAS","SOIC-8_3.9x4.9mm_Pitch1.27mm",1.068701,1.475000,0.000000,top
