Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,PinSocket_Long_2x16,PinSocket_2x16_P2.54mm_Vertical,25.21,27.35,0.0,top
J2,PinSocket_Long_1x06,PinSocket_1x06_P2.54mm_Vertical,22.525,3.975,90.0,top
J3,JST_PH_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,14.985,42.225,270.0,bottom
J4,JST_PH_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,14.985,22.54,270.0,bottom
JP1,PinHeader_1x03,PinHeader_1x03_P2.54mm_Vertical,10.625,33.05,180.0,bottom
JP2,PinHeader_1x03,PinHeader_1x03_P2.54mm_Vertical,3.005,33.08,0.0,bottom
JP3,PinHeader_1x03,PinHeader_1x03_P2.54mm_Vertical,10.625,12.73,180.0,bottom
JP4,PinHeader_1x03,PinHeader_1x03_P2.54mm_Vertical,3.005,12.76,0.0,bottom
Q1,IRFB3206PBF,TO-220-3_Vertical,16.777,32.43,90.0,bottom
Q2,IRLML6402TRPBF,SOT-23,19.83,37.875,90.0,top
Q3,IRLML6402TRPBF,SOT-23,19.515,17.19,90.0,top
Q4,IRFB3206PBF,TO-220-3_Vertical,16.65,12.11,90.0,bottom
R1,10k,R_0603_1608Metric,19.7925,32.43,0.0,top
R2,10k,R_0603_1608Metric,19.7925,34.97,0.0,top
R3,10k,R_0603_1608Metric,10.625,27.35,0.0,top
R4,10k,R_0603_1608Metric,19.51,14.46,0.0,top
R5,10k,R_0603_1608Metric,19.515,12.11,180.0,top
R6,10k,R_0603_1608Metric,10.625,7.03,0.0,top
