Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,226.0875,-44.67,180.0,bottom
D1,Green,LED_D3.0mm,248.66,-57.14,0.0,bottom
D2,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,212.762,-38.938,0.0,top
D3,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,221.832,-38.862,0.0,top
D4,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,229.452,-38.862,0.0,top
D5,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,236.818,-38.862,0.0,top
D6,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,225.388,-69.926,0.0,top
D7,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,235.458,-70.104,0.0,top
D8,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,243.078,-70.104,0.0,top
D9,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,230.632,-76.454,0.0,top
D10,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,238.088,-76.454,0.0,top
D11,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.094,-87.63,90.0,top
D12,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,238.252,-97.79,0.0,top
D13,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,230.976,-97.79,0.0,top
D14,RGB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,224.536,-87.63,-90.0,top
J1,Molex 2x02 Mini-Fit Jr.,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,239.12,-47.74,180.0,bottom
J2,Molex 2x02 Mini-Fit Jr.,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,239.1,-60.93,0.0,bottom
R1,470,R_0603_1608Metric,249.05,-60.31,180.0,top
