Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,139.95,-60.4,0.0,bottom
C2,0.1uF,C_0603_1608Metric,75.9,-41.9375,90.0,top
C3,0.1uF,C_0603_1608Metric,91.05,-36.5625,-90.0,top
C4,0.1uF,C_0603_1608Metric,108.3375,-40.7,0.0,top
C5,0.1uF,C_0603_1608Metric,123.1,-37.8875,-90.0,top
C6,0.1uF,C_0603_1608Metric,95.9375,-53.875,0.0,top
C7,0.1uF,C_0603_1608Metric,103.7375,-53.6,0.0,top
C8,0.1uF,C_0603_1608Metric,70.4375,-68.5,0.0,top
C9,0.1uF,C_0603_1608Metric,79.1375,-67.375,0.0,top
C10,0.1uF,C_0603_1608Metric,90.05,-63.4625,-90.0,top
C11,0.1uF,C_0603_1608Metric,109.2175,-65.99,0.0,top
C12,0.1uF,C_0603_1608Metric,115.75,-66.25,0.0,top
C13,0.1uF,C_0603_1608Metric,124.25,-65.85,0.0,top
C14,0.1uF,C_0603_1608Metric,122.22,-72.82,0.0,top
C15,0.1uF,C_0603_1608Metric,130.9225,-68.64,0.0,top
C16,0.1uF,C_0603_1608Metric,140.8725,-68.52,0.0,top
C17,0.1uF,C_0603_1608Metric,151.4625,-68.71,0.0,top
C18,0.1uF,C_0603_1608Metric,88.5625,-72.775,0.0,top
C19,0.1uF,C_0603_1608Metric,95.2625,-72.775,0.0,top
C20,0.1uF,C_0603_1608Metric,102.3125,-72.75,0.0,top
C21,0.1uF,C_0603_1608Metric,91.7125,-80.025,0.0,top
C22,0.1uF,C_0603_1608Metric,100.4875,-80.025,0.0,top
C23,0.1uF,C_0603_1608Metric,107.75,-83.525,0.0,top
C24,0.1uF,C_0603_1608Metric,112.8625,-91.67,0.0,top
C25,0.1uF,C_0603_1608Metric,113.825,-101.0875,90.0,top
C26,0.1uF,C_0603_1608Metric,110.5375,-107.2,0.0,top
C27,0.1uF,C_0603_1608Metric,90.9625,-105.925,0.0,top
C28,0.1uF,C_0603_1608Metric,84.3375,-107.5,0.0,top
C29,0.1uF,C_0603_1608Metric,80.7625,-99.7,0.0,top
C30,0.1uF,C_0603_1608Metric,76.91,-91.36,0.0,top
