Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,159.6644,-41.5544,180.0,bottom
C2,0.1uF,C_0603_1608Metric,156.5375,-88.0,0.0,top
C3,0.1uF,C_0603_1608Metric,156.5375,-68.45,0.0,top
C4,0.1uF,C_0603_1608Metric,164.7725,-68.19,0.0,top
C5,0.1uF,C_0603_1608Metric,172.9825,-68.3,0.0,top
C6,0.1uF,C_0603_1608Metric,164.7825,-87.88,0.0,top
C7,0.1uF,C_0603_1608Metric,173.7025,-87.96,0.0,top
C8,0.1uF,C_0603_1608Metric,177.3,-97.79,-90.0,top
C9,0.1uF,C_0603_1608Metric,182.2225,-88.2,0.0,top
D1,Green,LED_D3.0mm,177.6,-56.7,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153.75,-38.175,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.2,-38.15,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,168.6,-38.15,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.475,-44.275,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,162.5,-44.1,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.55,-51.175,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.825,-51.15,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.75,-58.45,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,162.025,-58.45,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.45,-58.45,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.875,-64.8,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.1,-64.7,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,171.3,-64.65,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.425,-76.15,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,159.35,-76.125,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.7,-76.15,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.6,-76.175,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,184.275,-74.2,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.875,-84.375,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.125,-84.3,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.05,-84.375,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180.575,-84.625,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.975,-96.95,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.95,-103.8,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,169.604,-49.478,0.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,179.764,-65.988,0.0,bottom
R1,470,R_0603_1608Metric,174.03,-56.4075,90.0,top
