Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,-37.501899,-88.08542,180.0,bottom
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-27.812999,-78.232,-90.0,top
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-17.652999,-78.232,-90.0,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-17.779999,-67.183,-90.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-36.030379,-48.93312,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-23.736379,-49.05992,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-14.338379,-49.08552,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-5.702379,-49.08552,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-37.999379,-55.96872,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-24.413999,-56.577,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-15.620379,-56.52752,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-5.956379,-56.55312,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-7.418379,-67.39872,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-7.418379,-78.77742,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-18.464379,-90.05542,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-6.351379,-92.18942,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-28.449379,-100.31742,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-6.402379,-100.62142,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-6.351379,-109.30842,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-18.504379,-111.01042,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-38.022379,-119.16342,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-30.125379,-119.11342,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-22.251379,-119.21442,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-14.451379,-119.26542,0.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-6.464379,-119.24042,0.0,top
D28,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-27.812999,-67.183,90.0,top
D29,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-17.271999,-31.877,-90.0,top
D30,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-8.127999,-31.877,-90.0,top
D31,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-8.127999,-37.973,-90.0,top
D32,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-17.335499,-37.973,90.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,-37.976379,-78.13542,270.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,-37.976379,-67.28592,270.0,bottom
J3,KK-254 1x02,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,-12.607499,-66.658,90.0,bottom
J4,KK-254 1x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,-12.641899,-78.1939,90.0,bottom
SW1,B3F-1026,Omron_B3F-1026,-12.735999,-34.85,90.0,top
SW2,B3F-1026,Omron_B3F-1026,-22.823999,-67.258,-90.0,top
SW3,B3F-1026,Omron_B3F-1026,-22.823999,-78.307,-90.0,top
