Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,153.745,-158.93,90.0,bottom
C2,0.1uF,C_0603_1608Metric,157.015,-88.49,0.0,top
C3,0.1uF,C_0603_1608Metric,189.555,-88.34,0.0,top
C4,0.1uF,C_0603_1608Metric,164.165,-94.85,0.0,top
C5,0.1uF,C_0603_1608Metric,186.435,-103.9525,-90.0,top
C6,0.1uF,C_0603_1608Metric,183.325,-115.85,-90.0,top
C7,0.1uF,C_0603_1608Metric,173.157,-118.48,0.0,top
C8,0.1uF,C_0603_1608Metric,165.557,-118.58,0.0,top
C9,0.1uF,C_0603_1608Metric,166.035,-135.65,0.0,top
C10,0.1uF,C_0603_1608Metric,175.655,-138.96,-90.0,top
C11,0.1uF,C_0603_1608Metric,185.775,-150.45,-90.0,top
C12,0.1uF,C_0603_1608Metric,178.465,-163.61,0.0,top
C13,0.1uF,C_0603_1608Metric,161.605,-154.79,0.0,top
C14,0.1uF,C_0603_1608Metric,162.745,-170.192,-90.0,top
C15,0.1uF,C_0603_1608Metric,167.745,-177.192,-90.0,top
C16,0.1uF,C_0603_1608Metric,163.145,-183.492,-90.0,top
C17,0.1uF,C_0603_1608Metric,149.455,-209.2,0.0,top
C18,0.1uF,C_0603_1608Metric,145.685,-198.79,90.0,top
C19,0.1uF,C_0603_1608Metric,216.145,-85.5925,-90.0,top
C20,0.1uF,C_0603_1608Metric,215.945,-93.2925,-90.0,top
C21,0.1uF,C_0603_1608Metric,222.315,-103.84,-90.0,top
C22,0.1uF,C_0603_1608Metric,215.745,-115.5925,-90.0,top
C23,0.1uF,C_0603_1608Metric,219.945,-124.4925,-90.0,top
C24,0.1uF,C_0603_1608Metric,212.045,-130.6925,-90.0,top
C25,0.1uF,C_0603_1608Metric,198.055,-145.28,0.0,top
C26,0.1uF,C_0603_1608Metric,269.957,-88.38,0.0,top
C27,0.1uF,C_0603_1608Metric,254.557,-94.78,0.0,top
C28,0.1uF,C_0603_1608Metric,261.557,-94.78,0.0,top
C29,0.1uF,C_0603_1608Metric,233.495,-100.08,0.0,top
C30,0.1uF,C_0603_1608Metric,241.155,-103.36,0.0,top
C31,0.1uF,C_0603_1608Metric,273.157,-102.38,0.0,top
C32,0.1uF,C_0603_1608Metric,280.425,-101.26,0.0,top
C33,0.1uF,C_0603_1608Metric,285.345,-133.87,-90.0,top
C34,0.1uF,C_0603_1608Metric,281.557,-146.18,0.0,top
C35,0.1uF,C_0603_1608Metric,280.125,-154.52,0.0,top
C36,0.1uF,C_0603_1608Metric,291.857,-154.48,0.0,top
D1,Green,LED_D3.0mm,152.48,-107.58,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.295,-84.78,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.445,-84.78,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,171.595,-84.78,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,179.745,-84.78,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.695,-84.78,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,162.535,-91.28,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.71,-91.28,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,178.885,-91.28,0.0,top
