Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,107.9295,-58.9226,90.0,bottom
C2,0.1uF,C_0603_1608Metric,98.7375,-51.8826,0.0,top
C3,0.1uF,C_0603_1608Metric,106.1995,-51.8826,0.0,top
C4,0.1uF,C_0603_1608Metric,113.1875,-52.0326,0.0,top
C5,0.1uF,C_0603_1608Metric,120.2995,-52.0326,0.0,top
C6,0.1uF,C_0603_1608Metric,90.5115,-63.0326,0.0,top
C7,0.1uF,C_0603_1608Metric,103.3995,-60.1201,-90.0,top
C8,0.1uF,C_0603_1608Metric,112.47,-68.36,-90.0,top
C9,0.1uF,C_0603_1608Metric,116.6115,-61.4576,0.0,top
C10,0.1uF,C_0603_1608Metric,125.5615,-62.5826,180.0,top
C11,0.1uF,C_0603_1608Metric,130.7495,-61.3326,0.0,top
C12,0.1uF,C_0603_1608Metric,86.5115,-78.9076,0.0,top
C13,0.1uF,C_0603_1608Metric,134.0115,-76.5576,0.0,top
C14,0.1uF,C_0603_1608Metric,112.3245,-81.5451,-90.0,top
C15,0.1uF,C_0603_1608Metric,126.1745,-85.0451,-90.0,top
C16,0.1uF,C_0603_1608Metric,100.6375,-88.0576,0.0,top
C17,0.1uF,C_0603_1608Metric,93.5115,-88.0076,0.0,top
C18,0.1uF,C_0603_1608Metric,90.6245,-98.0576,0.0,top
C19,0.1uF,C_0603_1608Metric,102.3245,-95.1326,-90.0,top
C20,0.1uF,C_0603_1608Metric,129.7245,-93.9576,-90.0,top
C21,0.1uF,C_0603_1608Metric,131.51,-101.2476,90.0,top
C22,0.1uF,C_0603_1608Metric,133.7245,-112.3226,0.0,top
C23,0.1uF,C_0603_1608Metric,129.2745,-120.4576,-90.0,top
C24,0.1uF,C_0603_1608Metric,104.2495,-113.1576,180.0,top
C25,0.1uF,C_0603_1608Metric,111.0245,-112.9076,180.0,top
C26,0.1uF,C_0603_1608Metric,86.0495,-112.1576,0.0,top
C27,0.1uF,C_0603_1608Metric,99.1745,-120.6076,-90.0,top
C28,0.1uF,C_0603_1608Metric,98.5095,-137.7626,90.0,top
C29,0.1uF,C_0603_1608Metric,119.1745,-130.6576,0.0,top
C30,0.1uF,C_0603_1608Metric,113.6545,-137.7926,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.9995,-48.2326,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.5495,-48.2326,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.5495,-48.4326,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.6495,-48.4326,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.58,-59.36,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.11,-59.28,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.9995,-67.2326,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.9495,-57.8326,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.0495,-58.9326,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.0995,-57.7326,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.3495,-73.0326,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.8495,-84.2326,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.0495,-80.7326,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.9495,-84.4326,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.8495,-84.4326,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.8495,-75.3326,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.0495,-94.3326,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.0495,-94.3326,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.4495,-93.1326,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.4495,-93.1326,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.49,-99.01,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.31,-98.86,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.7995,-108.8326,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.9995,-119.6326,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.9495,-119.6326,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.8495,-108.6326,-90.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.0495,-108.6326,-90.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,94.8995,-119.7826,0.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.3995,-108.5326,0.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.1995,-127.0326,0.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.2495,-127.0326,0.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.6495,-133.5826,0.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.4995,-127.0326,0.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.4995,-127.0326,0.0,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.5495,-133.9826,0.0,top
D36,Green,LED_D3.0mm,107.9875,-117.5206,180.0,bottom
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,120.2195,-135.8226,90.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,120.1995,-146.5926,90.0,bottom
R1,470,R_0603_1608Metric,104.6905,-118.3356,-90.0,top
