Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,169.65,-111.25,180.0,bottom
C2,0.1uF,C_0603_1608Metric,89.4,-94.8,-90.0,top
C3,0.1uF,C_0603_1608Metric,89.4,-88.4625,-90.0,top
C4,0.1uF,C_0603_1608Metric,89.45,-82.1125,-90.0,top
C5,0.1uF,C_0603_1608Metric,96.0295,-71.0918,0.0,top
C6,0.1uF,C_0603_1608Metric,103.029,-73.4418,0.0,top
C7,0.1uF,C_0603_1608Metric,101.029,-65.3418,0.0,top
C8,0.1uF,C_0603_1608Metric,102.84,-57.99,0.0,top
C9,0.1uF,C_0603_1608Metric,121.183,-55.2625,-90.0,top
C10,0.1uF,C_0603_1608Metric,125.4,-65.9625,-90.0,top
C11,0.1uF,C_0603_1608Metric,117.55,-79.2,-90.0,top
C12,0.1uF,C_0603_1608Metric,126.15,-79.2375,-90.0,top
C13,0.1uF,C_0603_1608Metric,147.15,-93.3625,-90.0,top
C14,0.1uF,C_0603_1608Metric,135.262,-94.4,0.0,top
C15,0.1uF,C_0603_1608Metric,121.45,-85.4625,-90.0,top
C16,0.1uF,C_0603_1608Metric,126.712,-94.2,0.0,top
C17,0.1uF,C_0603_1608Metric,118.662,-94.25,0.0,top
C18,0.1uF,C_0603_1608Metric,103.412,-107.6,0.0,top
C19,0.1uF,C_0603_1608Metric,96.4625,-107.6,0.0,top
C20,0.1uF,C_0603_1608Metric,155.85,-78.3625,-90.0,top
C21,0.1uF,C_0603_1608Metric,141.062,-67.85,0.0,top
C22,0.1uF,C_0603_1608Metric,136.788,-76.5,0.0,top
C23,0.1uF,C_0603_1608Metric,159.4,-57.4625,-90.0,top
C24,0.1uF,C_0603_1608Metric,163.412,-71.55,0.0,top
C25,0.1uF,C_0603_1608Metric,169.112,-95.1,0.0,top
C26,0.1uF,C_0603_1608Metric,143.85,-76.55,0.0,top
C27,0.1uF,C_0603_1608Metric,169.062,-87.5,0.0,top
C28,0.1uF,C_0603_1608Metric,206.545,-56.969,0.0,top
C29,0.1uF,C_0603_1608Metric,145.12,-60.12,0.0,top
C30,0.1uF,C_0603_1608Metric,180.118,-65.092,0.0,top
C31,0.1uF,C_0603_1608Metric,181.312,-73.85,0.0,top
C32,0.1uF,C_0603_1608Metric,196.25,-77.55,-90.0,top
C33,0.1uF,C_0603_1608Metric,206.695,-65.8287,-90.0,top
C34,0.1uF,C_0603_1608Metric,181.218,-57.392,0.0,top
C35,0.1uF,C_0603_1608Metric,199.545,-57.019,0.0,top
C36,0.1uF,C_0603_1608Metric,186.318,-57.292,0.0,top
C37,0.1uF,C_0603_1608Metric,176.638,-87.5,0.0,top
C38,0.1uF,C_0603_1608Metric,184.562,-87.45,0.0,top
C39,0.1uF,C_0603_1608Metric,185.67,-92.6025,-90.0,top
C40,0.1uF,C_0603_1608Metric,198.962,-87.25,0.0,top
C41,0.1uF,C_0603_1608Metric,209.0,-90.7125,-90.0,top
C42,0.1uF,C_0603_1608Metric,204.55,-96.9625,-90.0,top
C43,0.1uF,C_0603_1608Metric,196.71,-91.61,-90.0,top
C44,0.1uF,C_0603_1608Metric,207.612,-107.3,0.0,top
C45,0.1uF,C_0603_1608Metric,211.012,-120.75,0.0,top
C46,0.1uF,C_0603_1608Metric,204.3,-112.212,-90.0,top
C47,0.1uF,C_0603_1608Metric,184.612,-117.05,0.0,top
C48,0.1uF,C_0603_1608Metric,204.012,-120.65,0.0,top
C49,0.1uF,C_0603_1608Metric,196.5,-116.088,90.0,top
C50,0.1uF,C_0603_1608Metric,177.512,-121.45,0.0,top
C51,0.1uF,C_0603_1608Metric,196.5,-120.762,-90.0,top
C52,0.1uF,C_0603_1608Metric,179.262,-107.2,0.0,top
C53,0.1uF,C_0603_1608Metric,171.612,-107.3,0.0,top
D1,Green,LED_D3.0mm,137.65,-103.075,90.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.1292,-94.0052,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.1408,-87.6554,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.2032,-81.3052,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.49,-69.9,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,94.3952,-67.5532,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.801,-61.6202,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.64,-54.45,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.93,-54.4574,0.0,top
