Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,60.885662,-12.731588,180.0,top
C2,47uF,C_1206_3216Metric,165.127262,-54.895588,0.0,top
C3,47uF,C_1206_3216Metric,146.345262,-173.630988,-90.0,top
C4,47uF,C_1206_3216Metric,19.229662,-111.181988,180.0,top
D1,LED,LED_0402_1005Metric,21.490262,-27.996988,-90.0,top
D2,LED,LED_0402_1005Metric,25.427262,-27.996988,90.0,top
D3,LED,LED_0402_1005Metric,48.033262,-14.534988,-90.0,top
D4,LED,LED_0402_1005Metric,51.716262,-14.534988,90.0,top
D5,LED,LED_0402_1005Metric,78.894262,-17.074988,-90.0,top
D6,LED,LED_0402_1005Metric,82.069262,-17.074988,90.0,top
D7,LED,LED_0402_1005Metric,101.754262,-17.201988,-90.0,top
D8,LED,LED_0402_1005Metric,104.929262,-17.201988,90.0,top
D9,LED,LED_0402_1005Metric,132.234262,-14.534988,-90.0,top
D10,LED,LED_0402_1005Metric,135.536262,-14.534988,90.0,top
D11,LED,LED_0402_1005Metric,24.919262,-173.030988,90.0,top
D12,LED,LED_0402_1005Metric,29.110262,-173.030988,-90.0,top
D13,LED,LED_0402_1005Metric,32.920262,-173.030988,90.0,top
D14,LED,LED_0402_1005Metric,151.030262,-172.776988,-90.0,top
D15,LED,LED_0402_1005Metric,155.094262,-172.776988,90.0,top
D16,LED,LED_0402_1005Metric,158.523262,-172.776988,-90.0,top
D17,LED,LED_0402_1005Metric,82.704262,-13.391988,180.0,top
D18,LED,LED_0402_1005Metric,83.212262,-9.073988,0.0,top
D19,LED,LED_0402_1005Metric,85.752262,-4.882988,0.0,top
D20,LED,LED_0402_1005Metric,90.451262,-2.850988,180.0,top
D21,LED,LED_0402_1005Metric,101.627262,-13.391988,0.0,top
D22,LED,LED_0402_1005Metric,101.119262,-9.073988,180.0,top
D23,LED,LED_0402_1005Metric,98.579262,-5.009988,180.0,top
D24,LED,LED_0402_1005Metric,94.515262,-2.850988,0.0,top
R1,10K,R_0603_1608Metric,69.814262,-14.407988,180.0,top
R2,10K,R_0603_1608Metric,69.814262,-11.867988,180.0,top
R3,10K,R_0603_1608Metric,69.814262,-9.327988,180.0,top
R4,33,R_0402_1005Metric,40.058411,-24.432718,90.0,top
R5,150,R_0402_1005Metric,94.642262,-21.519988,180.0,top
R6,33,R_0402_1005Metric,141.408411,-21.632718,90.0,top
R7,150,R_0402_1005Metric,171.858262,-98.100988,0.0,top
R8,33,R_0402_1005Metric,171.158411,-160.232718,180.0,top
R9,150,R_0402_1005Metric,97.817262,-172.497588,90.0,top
R10,33,R_0402_1005Metric,16.958411,-176.632718,180.0,top
R11,150,R_0402_1005Metric,13.743262,-97.821588,180.0,top
R12,33,R_0402_1005Metric,52.859262,-14.534988,90.0,top
R13,33,R_0402_1005Metric,106.199262,-17.201988,90.0,top
R14,270,R_0402_1005Metric,136.679262,-14.534988,90.0,top
R15,150,R_0402_1005Metric,34.063262,-173.030988,90.0,top
R16,150,R_0402_1005Metric,159.666262,-172.776988,-90.0,top
R17,33,R_0402_1005Metric,87.657262,-1.961988,180.0,top
R18,33,R_0402_1005Metric,97.563262,-1.961988,0.0,top
SW1,TL1240GQ,TL1240GQ,32.608411,-18.282718,-49.6,top
SW2,TL1240GQ,TL1240GQ,38.208411,-13.532718,-49.6,top
SW3,TL1240GQ,TL1240GQ,50.255762,-23.678988,0.0,top
SW4,TL1240GQ,TL1240GQ,69.559762,-23.678988,0.0,top
SW5,TL1240GQ,TL1240GQ,88.863762,-23.678988,0.0,top
SW6,TL1240GQ,TL1240GQ,108.167762,-23.678988,0.0,top
SW7,TL1240GQ,TL1240GQ,127.471762,-23.678988,0.0,top
SW8,TL1240GQ,TL1240GQ,149.458411,-16.482718,-130.4,top
SW9,TL1240GQ,TL1240GQ,154.958411,-21.182718,-130.4,top
SW10,TL1240GQ,TL1240GQ,171.350262,-59.873988,-90.0,top
SW11,TL1240GQ,TL1240GQ,171.350262,-80.193988,-90.0,top
SW12,TL1240GQ,TL1240GQ,171.350262,-100.513988,-90.0,top
SW13,TL1240GQ,TL1240GQ,171.413762,-120.833988,-90.0,top
SW14,TL1240GQ,TL1240GQ,171.413762,-141.153988,-90.0,top
SW15,TL1240GQ,TL1240GQ,165.858411,-162.432718,0.0,top
SW16,TL1240GQ,TL1240GQ,165.858411,-169.832718,0.0,top
SW17,TL1240GQ,TL1240GQ,127.471762,-173.030988,0.0,top
