Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,9.972,42.545,0,top
Q2,IRLML6402TRPBF,SOT-23,8.255,18.415,180,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,9.525,2.54,180,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,9.525,15.24,0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.795,18.415,90,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,59.055,0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,56.515,180,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,48.895,0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,46.355,180,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,11.557,46.355,180,top
