Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3",""
"BUS IN","J1","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical","N/A"
"BUS OUT","J2","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical","N/A"
"Conn_01x06","J3","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",""
"BRT/CRS","J4","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"CONT/HDG","J5","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"DDI ROT","J6","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"AMPCD ROT","J7","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"EWI SW","J8","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"OpenHornetLogoSmall","LOGO1,LOGO2","KiCAD Libraries:OH_LOGO_ONLY_11x6mm","N/A"
"IRFB3206PBF","Q1","Package_TO_SOT_THT:TO-220-3_Vertical","C2642"
"IRLML6402TRPBF","Q2","Package_TO_SOT_SMD:SOT-23","C2593"
"10K","R1,R2,R3,R4,R5,R6,R7","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
"RST","RST1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"MAX487EESA+T","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C116539"
"ProMicro_5V/16Hz","XU1","Package_DIP:DIP-24_W15.24mm_Socket","C72120"
