Comment,Designator,Footprint,LCSC
MAX487EESA+T,U1,SOIC-8_3.9x4.9mm_P1.27mm,C116539
10K,"R1,R2,R3,R4,R5,R6,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
IRLML6402TRPBF,Q2,SOT-23,C2593
IRFB3206PBF,Q1,TO-220-3_Vertical,C2642
BRT/CRS,"J4,J5,J8",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,C471416
0.1uF,C1,C_0805_2012Metric,C49678
DDI ROT,"J6,J7",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C504991
DDI/AMPCD MAIN,J3,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,C504992
BUS IN,"J1,J2",Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,C505177
ProMicro_5V/16Hz,XU1,DIP-24_W15.24mm_Socket,C72120
