Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,9.972,42.545,0.0,top
J1,BUS IN,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,10.16,60.96,-90.0,top
J2,BUS OUT,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,10.16,38.1,-90.0,top
J3,DDI/AMPCD MAIN,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,34.29,31.75,180.0,top
J4,BRT/CRS,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,28.575,16.51,90.0,top
J5,CONT/HDG,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,38.735,16.51,90.0,top
J6,DDI ROT,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,18.415,3.81,90.0,top
J7,AMPCD ROT,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,28.575,3.81,90.0,top
J8,EWI SW,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,18.415,16.51,90.0,top
Q1,IRFB3206PBF,TO-220-3_Vertical,10.16,6.35,90.0,top
Q2,IRLML6402TRPBF,SOT-23,8.255,18.415,180.0,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,9.525,2.54,180.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,9.525,15.24,0.0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.795,18.415,90.0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,59.055,0.0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,56.515,180.0,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,48.895,0.0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.5525,46.355,180.0,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,11.557,46.355,180.0,top
XU1,ProMicro_5V/16Hz,DIP-24_W15.24mm_Socket,22.86,67.945,0.0,top
