Comment,Designator,Footprint,LCSC
MAX487EESA+T,U1,SOIC-8_3.9x4.9mm_P1.27mm,C116539
120,"R1,R2",R_0805_2012Metric,C17437
470,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23179
2.2k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190
0.1uF,C1,C_0805_2012Metric,C49678
ProMicro,U0,DIP-24_W15.24mm_Socket,C72120
2N7002,Q1,SOT-23,C8545
POT,J17,PinHeader_1x03_P2.54mm_Vertical,
BUS OUT,J2,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
BUS IN,J1,Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
MH,MK3,MountingHole_2.5mm,
MH,MK2,MountingHole_2.5mm,
MH,MK1,MountingHole_2.5mm,
BL_DOUT_SEL,JP2,PinHeader_1x03_P2.54mm_Vertical,
BL_DIN_SEL,JP1,PinHeader_1x03_P2.54mm_Vertical,
PUSH,J16,PinHeader_1x02_P2.54mm_Vertical,
OFF_SERVO,J15,Adam-Tech_1x03_P1.25mm_Vertical,
RED_LED,J14,PinHeader_1x02_P2.54mm_Vertical,
GRN_LED,J13,PinHeader_1x02_P2.54mm_Vertical,
STEPPER,J5,PinHeader_2x05_P2.54mm_Vertical,
BL OUT,J4,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,
BL IN,J3,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,
