Comment,Designator,Footprint,LCSC
MAX487EESA+T,U1,SOIC-8_3.9x4.9mm_P1.27mm,C116539
0.1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
BUS OUT,J2,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,
BUS IN,J1,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,
SARI_TEST,J10,PinHeader_1x02_P2.54mm_Vertical,
SARI_CAGE,J9,PinHeader_1x05_P2.54mm_Vertical,
RWR_BRT,J8,PinHeader_1x03_P2.54mm_Vertical,
VVI,J7,PinHeader_2x05_P2.54mm_Vertical,
ALTIMETER,J6,PinHeader_2x07_P2.54mm_Vertical,
AIRSPEED,J5,PinHeader_2x05_P2.54mm_Vertical,
MH,MK1,Arduino_1pin,
MH,MK3,Arduino_1pin,
MH,MK4,Arduino_1pin,
