Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.5mm",""
"BUS IN","J1","Connector_Molex:Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal",""
"SARI_TEST","J10","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUS OUT","J2","Connector_Molex:Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal",""
"BL IN","J3","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"BL OUT","J4","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"AIRSPEED","J5","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"ALTIMETER","J6","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"VVI","J7","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"RWR_BRT","J8","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SARI_CAGE","J9","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"BL_DIN_SEL","JP1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"BL_DOUT_SEL","JP2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"MH","MK1,MK2,MK3,MK4","Socket_Arduino_Mega:Arduino_1pin",""
"PWM","P1","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Power","P2","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Analog","P3,P5","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"PWM","P4","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Communication","P6","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Digital","P7","Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical",""
"TP-12","TP1","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-5V","TP2","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-3.3V","TP3","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-GND","TP4","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-A","TP5","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"TP-B","TP6","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"MAX487EESA+T","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C116539"
