Comment,Designator,Footprint,LCSC
OUTB GRIP,J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C131334
MAX DETENT,"J10,J8,J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
IN SERVO,"J11,J12,J6,J7",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339
10uF,"C2,C3",C_1206_3216Metric,C13585
INB GRIP,J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,C157993
10K,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R2,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
IRLML6402TRPBF,"Q11,Q12,Q2,Q4,Q7,Q8",SOT-23,C2593
IRFB3206PBF,"Q1,Q10,Q3,Q5,Q6,Q9",TO-220-3_Vertical,C2642
X/OUTB,"J1,J2,J3",JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,C265105
RESET,SW1,SMD-SW-4_5.1x5.1,C318884
TCA9554PWR,U2,TSSOP-16_4.4x5mm_P0.65mm,C477924
ProMicro,U1,DIP-24_W15.24mm_Socket,C72120
47uF,C1,C_1206_3216Metric,C96123
