Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,10,-25.5,0,top
C2,10uF,C_1206_3216Metric,4,-60,180,top
C3,10uF,C_1206_3216Metric,23,-8.5,180,top
LOGO3,OpenHornetLogoSmall,OH_LOGO_ONLY_11x6mm,16.306,-41.56,0,top
Q2,IRLML6402TRPBF,SOT-23,37.1755,-52.846,0,top
Q4,IRLML6402TRPBF,SOT-23,37.1755,-64.276,0,top
Q7,IRLML6402TRPBF,SOT-23,37.332,-9.671,0,top
Q8,IRLML6402TRPBF,SOT-23,37.332,-20.466,0,top
Q11,IRLML6402TRPBF,SOT-23,37.332,-31.301,0,top
Q12,IRLML6402TRPBF,SOT-23,37.332,-42.096,0,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.2705,-50.306,0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.6355,-52.846,270,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.2705,-45.861,0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.2705,-61.101,0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.6355,-64.276,270,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.2705,-56.656,0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-6.496,0,top
R8,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-17.291,0,top
R9,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.792,-9.671,270,top
R10,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.792,-20.466,270,top
R11,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-2.051,0,top
R12,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-13.227,0,top
R13,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-28.126,0,top
R14,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-38.921,0,top
R15,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.792,-31.301,270,top
R16,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.792,-42.096,270,top
R17,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.427,-23.681,0,top
R18,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.554,-34.984,0,top
SW1,RESET,SMD-SW-4_5.1x5.1,4,-53.5,90,top
U2,TCA9554PWR,TSSOP-16_4.4x5mm_P0.65mm,13.5,-21,180,top
