Comment,Designator,Footprint,LCSC
LED,"D1,D10,D11,D12,D13,D14,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D4,D5,D6,D7,D8,D9",LED_0402_1005Metric,C130723
150,"R10,R16,R17,R19,R20,R4,R6,R8",R_0402_1005Metric,C25082
270,"R11,R15,R18,R21,R5,R7,R9",R_0402_1005Metric,C25099
33,"R12,R13,R14",R_0402_1005Metric,C25105
10K,"R1,R2,R3",R_0603_1608Metric,C25804
TCA9554PWR,"U1,U2,U3,U4",TSSOP-16_4.4x5mm_P0.65mm,C477924
47uF,"C1,C2,C3,C4",C_1206_3216Metric,C96123
TL1240GQ,SW1,TL1240GQ,
TL1240GQ,SW2,TL1240GQ,
TL1240GQ,SW3,TL1240GQ,
TL1240GQ,SW4,TL1240GQ,
TL1240GQ,SW5,TL1240GQ,
TL1240GQ,SW6,TL1240GQ,
TL1240GQ,SW7,TL1240GQ,
TL1240GQ,SW8,TL1240GQ,
TL1240GQ,SW9,TL1240GQ,
TL1240GQ,SW10,TL1240GQ,
TL1240GQ,SW11,TL1240GQ,
TL1240GQ,SW12,TL1240GQ,
TL1240GQ,SW13,TL1240GQ,
TL1240GQ,SW14,TL1240GQ,
TL1240GQ,SW15,TL1240GQ,
TL1240GQ,SW16,TL1240GQ,
TL1240GQ,SW17,TL1240GQ,
TL1240GQ,SW18,TL1240GQ,
TL1240GQ,SW19,TL1240GQ,
TL1240GQ,SW20,TL1240GQ,
