Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,175.609049,-81.372139,-90.0,top
D3,LED,WS2812-2020,175.609049,-88.992139,-90.0,top
D4,LED,WS2812-2020,165.449049,-88.992139,90.0,top
D5,LED,WS2812-2020,165.44905,-81.502195,90.0,top
D6,LED,WS2812-2020,151.63905,-81.492195,-90.0,top
D7,LED,WS2812-2020,151.63905,-89.112195,-90.0,top
D8,LED,WS2812-2020,141.47905,-89.112195,90.0,top
D9,LED,WS2812-2020,141.47905,-81.492195,90.0,top
D10,LED,WS2812-2020,129.857499,-71.884797,180.0,top
D11,LED,WS2812-2020,121.323099,-71.884797,180.0,top
D12,LED,WS2812-2020,112.712499,-71.884798,180.0,top
D13,LED,WS2812-2020,104.178099,-71.884798,180.0,top
D14,LED,WS2812-2020,104.178099,-80.876398,0.0,top
D15,LED,WS2812-2020,112.712499,-80.876398,0.0,top
D16,LED,WS2812-2020,121.323099,-80.876398,0.0,top
D17,LED,WS2812-2020,129.857499,-80.876398,0.0,top
D18,LED,WS2812-2020,129.857499,-89.867997,180.0,top
D19,LED,WS2812-2020,121.323099,-89.867997,180.0,top
D20,LED,WS2812-2020,112.712499,-89.867997,180.0,top
D21,LED,WS2812-2020,104.178099,-89.867997,180.0,top
D22,LED,WS2812-2020,104.178099,-98.859597,0.0,top
D23,LED,WS2812-2020,112.712499,-98.859597,0.0,top
D24,LED,WS2812-2020,121.323099,-98.859597,0.0,top
D25,LED,WS2812-2020,129.857499,-98.859597,0.0,top
D26,LED,WS2812-2020,129.857499,-107.851197,180.0,top
D27,LED,WS2812-2020,121.323099,-107.851197,180.0,top
D28,LED,WS2812-2020,112.712499,-107.851197,180.0,top
D29,LED,WS2812-2020,104.178099,-107.851197,180.0,top
D30,LED,WS2812-2020,104.178099,-116.842797,0.0,top
D31,LED,WS2812-2020,112.712499,-116.842797,0.0,top
R1,R,R_0603_1608Metric,135.12905,-85.937195,-90.0,top
SW1,FIRE,SW_TH_Tactile_Omron_B3F-10xx,168.223049,-88.603396,90.0,top
SW2,MC/APU FIRE,SW_TH_Tactile_Omron_B3F-10xx,148.842849,-82.075596,-90.0,top
